ticker,MCC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2011-01-20,1.1667
2011-01-21,-1.1532
2011-01-24,-0.5
2011-01-25,0.0838
2011-01-26,-0.251
2011-01-27,0.1678
2011-01-28,-0.335
2011-01-31,0.8403
2011-02-01,0.0
2011-02-02,-0.0833
2011-02-03,-0.2502
2011-02-04,0.0836
2011-02-07,0.2506
2011-02-08,-0.3333
2011-02-09,0.9197
2011-02-10,-0.4971
2011-02-11,0.3331
2011-02-14,-0.4149
2011-02-15,0.0
2011-02-16,0.0
2011-02-17,-0.8333
2011-02-18,-0.5882
2011-02-22,-0.8453
2011-02-23,-0.9378
2011-02-24,1.8933
2011-02-25,0.5068
2011-02-28,0.4202
2011-03-01,-1.3389
2011-03-02,2.3749000000000002
2011-03-03,0.4143
2011-03-04,0.2475
2011-03-07,-0.4938
2011-03-08,0.8271
2011-03-09,-1.0664
2011-03-10,-0.0829
2011-03-11,0.4149
2011-03-14,-1.157
2011-03-15,-0.6689
2011-03-16,1.2626
2011-03-17,-0.2494
2011-03-18,-1.6667
2011-03-21,1.1017
2011-03-22,-0.7544
2011-03-23,1.6047
2011-03-24,-0.9975
2011-03-25,0.7557
2011-03-28,0.25
2011-03-29,-0.4988
2011-03-30,-0.4177
2011-03-31,2.1812
2011-04-01,-1.4778
2011-04-04,0.0
2011-04-05,0.3333
2011-04-06,1.2458
2011-04-07,-1.1485
2011-04-08,-1.1618
2011-04-11,-0.9236
2011-04-12,-0.9322
2011-04-13,-0.941
2011-04-14,-1.1226
2011-04-15,0.0
2011-04-18,-0.524
2011-04-19,-0.2634
2011-04-20,0.3521
2011-04-21,0.0
2011-04-25,0.0877
2011-04-26,0.0876
2011-04-27,0.4378
2011-04-28,-0.3487
2011-04-29,2.3622
2011-05-02,0.1709
2011-05-03,-0.5973
2011-05-04,-2.4893
2011-05-05,-0.2641
2011-05-06,2.3830999999999998
2011-05-09,0.7759
2011-05-10,2.3097
2011-05-11,-1.7559
2011-05-12,1.7021
2011-05-13,-1.3389
2011-05-16,-2.1204
2011-05-17,2.1664
2011-05-18,1.1026
2011-05-19,-0.4195
2011-05-20,0.0842
2011-05-23,-0.6734
2011-05-24,-0.339
2011-05-25,0.085
2011-05-26,0.6797
2011-05-27,0.5063
2011-05-31,-0.0851
2011-06-01,-2.7257
2011-06-02,0.613
2011-06-03,-1.9146999999999998
2011-06-06,1.6859
2011-06-07,-0.4363
2011-06-08,-0.7011
2011-06-09,-0.1765
2011-06-10,-0.3537
