ticker,AQSP US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-12,-20.0
2000-03-15,0.0
2001-01-31,40.0
2001-02-26,-71.4286
2001-09-20,-37.5
2001-09-21,-44.0
2001-12-31,-28.5714
2002-03-05,20.0
2002-03-27,0.0
2002-06-26,-16.6667
2002-08-06,-20.0
2002-10-10,-50.0
2003-05-13,0.0
2003-06-20,0.0
2003-11-07,200.0
2003-12-04,0.0
2004-02-13,0.0
2004-03-29,816.6667
2004-05-12,-72.7273
2004-07-26,33.3333
2004-09-23,-60.0
2005-04-28,-37.5
2005-07-29,-20.0
2005-11-10,0.0
2006-02-28,-50.0
2007-08-08,405.0
2007-12-21,99.0099
2008-01-29,-74.6269
2008-10-01,-41.1765
2009-05-13,-66.6667
2012-07-18,62.5
2012-07-19,0.0
2012-07-20,0.0
2012-07-23,0.0
2012-07-26,0.0
2012-08-01,0.0
2012-08-07,0.0
2012-08-08,0.0
2012-08-15,0.0
2012-08-17,0.0
2012-08-21,7.6923
2012-08-22,0.0
2012-08-23,0.0
2012-09-07,7.1429
2012-09-26,0.0
2012-11-28,-13.0667
2012-11-29,15.0307
2013-07-23,-86.6667
2013-07-30,-50.0
2013-08-02,-40.0
2013-08-05,-33.3333
2013-08-06,0.0
2013-08-08,0.0
2013-08-09,0.0
2013-08-12,100.0
2013-08-13,0.0
2013-08-19,-50.0
2013-08-21,300.0
2013-08-30,-25.0
2013-09-03,0.0
2013-09-06,66.6667
2013-09-09,-30.0
2013-09-11,28.5714
2013-09-12,-11.1111
2013-09-13,12.5
2013-09-16,0.0
2013-09-17,11.1111
2013-09-18,0.0
2013-11-18,0.0
2013-12-06,-2.0
2013-12-18,2.0408
2014-02-19,2.0
2014-02-20,7.8431
2014-03-06,-1.7955
2014-03-07,-43.5316
2014-03-12,113.1148
2014-03-17,-21.5385
2014-03-18,49.0196
2014-03-28,-7.8947
2014-04-02,200.0
2014-04-03,-9.5238
2014-04-04,-5.2632
2014-04-07,-0.5556
2014-04-08,89.3855
2014-04-09,-21.5339
2014-04-10,-2.6316
2014-04-11,-13.1274
2014-04-14,11.1111
2014-04-16,0.0
2014-04-17,0.0
2014-04-21,16.0
2014-04-22,3.4483
2014-04-23,3.3333
2014-04-24,-14.1935
2014-04-28,3.3835
2014-04-30,4.7273
2014-05-01,0.6944
2014-05-02,3.4483
2014-05-09,-8.3333
2014-05-13,-1.8182
2014-05-14,1.8519
2014-05-15,26.9091
2014-05-20,-6.8768
2014-05-21,4.6154
