ticker,BAH US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2010-11-17,13.2353
2010-11-18,1.2987
2010-11-19,-0.359
2010-11-22,1.544
2010-11-23,-0.3548
2010-11-24,1.7294
2010-11-26,-0.9
2010-11-29,-1.8163
2010-11-30,-0.3083
2010-12-01,0.0
2010-12-02,-1.3402
2010-12-03,-0.5747
2010-12-06,-0.2102
2010-12-07,-0.6846
2010-12-08,0.0
2010-12-09,-0.9014
2010-12-10,-0.4815
2010-12-13,-0.1613
2010-12-14,0.6462
2010-12-15,0.0535
2010-12-16,1.3369
2010-12-17,0.4222
2010-12-20,2.9427
2010-12-21,-1.4293
2010-12-22,0.4661
2010-12-23,-1.3402
2010-12-27,3.0303
2010-12-28,-1.572
2010-12-29,0.0
2010-12-30,1.8032
2010-12-31,-1.67
2011-01-03,-1.2352
2011-01-04,-1.6154
2011-01-05,-0.5297
2011-01-06,-1.7039
2011-01-07,-1.2459
2011-01-10,-0.2743
2011-01-11,2.5853
2011-01-12,-0.9115
2011-01-13,-0.0541
2011-01-14,0.5956
2011-01-18,0.0
2011-01-19,-1.3994
2011-01-20,-1.2555
2011-01-21,0.1106
2011-01-24,1.5461
2011-01-25,0.3806
2011-01-26,0.0542
2011-01-27,1.7867
2011-01-28,0.6915
2011-01-31,-1.4263
2011-02-01,0.2144
2011-02-02,1.6578
2011-02-03,-1.2099
2011-02-04,-0.1597
2011-02-07,2.6667
2011-02-08,0.5195
2011-02-09,-2.1705
2011-02-10,-0.8452
2011-02-11,1.0123
2011-02-14,-0.9494
2011-02-15,0.426
2011-02-16,0.6363
2011-02-17,-0.2107
2011-02-18,1.4784
2011-02-22,-0.3642
2011-02-23,-1.671
2011-02-24,-1.7525
2011-02-25,0.6486
2011-02-28,-0.6982
2011-03-01,0.0541
2011-03-02,0.0
2011-03-03,1.1892
2011-03-04,-1.1752
2011-03-07,-0.7568
2011-03-08,0.7081
2011-03-09,-0.2704
2011-03-10,-1.3014999999999999
2011-03-11,0.0
2011-03-14,1.5934
2011-03-15,-2.6501
2011-03-16,0.9444
2011-03-17,0.2752
2011-03-18,1.5368
2011-03-21,-1.1351
2011-03-22,-0.2734
2011-03-23,0.1096
2011-03-24,0.2191
2011-03-25,-0.1093
2011-03-28,-0.3829
2011-03-29,-0.0549
2011-03-30,-0.2198
2011-03-31,-0.826
2011-04-01,1.5547
2011-04-04,-0.2187
2011-04-05,1.3151
2011-04-06,2.0552
2011-04-07,1.1129
2011-04-08,2.673
2011-04-11,-1.6335
