ticker,GPRE US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2006-03-16,-11.9403
2006-03-17,-6.7797
2006-03-20,-16.0364
2006-03-21,3.2915
2006-03-22,9.0147
2006-03-23,7.6923
2006-03-24,1.7856999999999998
2006-03-27,12.2807
2006-03-28,-3.0938
2006-03-29,7.7072
2006-03-30,0.2545
2006-03-31,0.881
2006-04-03,1.3914
2006-04-04,0.7299
2006-04-05,5.7971
2006-04-06,1.3973
2006-04-07,3.8908
2006-04-10,18.4135
2006-04-11,7.6828
2006-04-12,-4.7483
2006-04-13,-1.3919000000000001
2006-04-17,1.5852
2006-04-18,1.6674
2006-04-19,1.1354
2006-04-20,-2.2869
2006-04-21,-1.766
2006-04-24,-3.8337
2006-04-25,-10.2703
2006-04-26,6.3002
2006-04-27,-1.2444
2006-04-28,-0.7723
2006-05-01,0.0
2006-05-02,8.4337
2006-05-03,3.7333
2006-05-04,-9.8115
2006-05-05,3.5867
2006-05-08,7.7734
2006-05-09,7.0213
2006-05-10,0.3976
2006-05-11,-1.4851
2006-05-12,0.4824
2006-05-15,-11.4023
2006-05-16,-1.6707999999999998
2006-05-17,-5.8783
2006-05-18,-6.0503
2006-05-19,-10.6726
2006-05-22,-1.5116
2006-05-23,4.9292
2006-05-24,4.0788
2006-05-25,1.6486
2006-05-26,-0.8242
2006-05-30,-3.2976
2006-05-31,-2.9665
2006-06-01,1.0
2006-06-02,5.884
2006-06-05,1.4814
2006-06-06,0.0408
2006-06-07,-1.1579
2006-06-08,-1.0916
2006-06-09,-1.7497
2006-06-12,-2.3014
2006-06-13,-11.6657
2006-06-14,3.1111
2006-06-15,-2.4723
2006-06-16,-9.5878
2006-06-19,-5.7258
2006-06-20,-1.8148
2006-06-21,4.1117
2006-06-22,10.5072
2006-06-23,11.1803
2006-06-26,1.7399
2006-06-27,5.7971
2006-06-28,-4.1096
2006-06-29,-5.7714
2006-06-30,1.5767
2006-07-03,2.3582
2006-07-05,-3.762
2006-07-06,-0.8485
2006-07-07,-0.0611
2006-07-10,2.1407
2006-07-11,2.5449
2006-07-12,-4.6423
2006-07-13,2.572
2006-07-14,0.1493
2006-07-17,0.1788
2006-07-18,-10.7409
2006-07-19,6.2333
2006-07-20,1.0355
2006-07-21,-2.4845
2006-07-24,-1.5924
2006-07-25,-2.9773
2006-07-26,0.5304
2006-07-27,7.7341999999999995
2006-07-28,-4.5273
2006-07-31,4.8383
2006-08-01,0.0004
2006-08-02,-4.4308
2006-08-03,2.6401
