ticker,LRMR US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-06-19,23.4375
2014-06-20,0.2532
2014-06-23,0.7576
2014-06-24,-0.6015
2014-06-25,-0.4034
2014-06-26,0.0
2014-06-27,0.0
2014-06-30,0.1519
2014-07-01,0.2022
2014-07-02,-0.4541
2014-07-03,0.4562
2014-07-07,-1.6145
2014-07-08,-2.5128
2014-07-09,-0.9469
2014-07-10,-1.0621
2014-07-11,0.5368
2014-07-14,-1.5483
2014-07-15,-0.6508
2014-07-16,-0.1092
2014-07-17,-1.7486000000000002
2014-07-18,-0.6674
2014-07-21,0.7839
2014-07-22,-0.8333
2014-07-23,1.9048
2014-07-24,4.398
2014-07-25,-0.158
2014-07-28,-0.6329
2014-07-29,-0.2123
2014-07-30,-3.0851
2014-07-31,-3.9516999999999998
2014-08-01,-0.5714
2014-08-04,0.0575
2014-08-05,1.0339
2014-08-06,0.0569
2014-08-07,-0.4545
2014-08-08,-0.7991
2014-08-11,1.9563000000000001
2014-08-12,0.1129
2014-08-13,0.5073
2014-08-14,-0.5609
2014-08-15,0.0
2014-08-18,7.727
2014-08-19,-0.1571
2014-08-20,0.4195
2014-08-21,0.3133
2014-08-22,-0.0521
2014-08-25,-0.3125
2014-08-26,2.4556
2014-08-27,0.4589
2014-08-28,7.3604
2014-08-29,-0.9929
2014-09-02,1.3133
2014-09-03,-6.7641
2014-09-04,1.8199999999999998
2014-09-05,-2.3833
2014-09-08,0.3561
2014-09-09,-2.6863
2014-09-10,1.5104
2014-09-11,-3.5916
2014-09-12,-2.8739
2014-09-15,5.6986
2014-09-16,-1.7626
2014-09-17,-0.3694
2014-09-18,1.2711999999999999
2014-09-19,-0.8368
2014-09-22,0.2637
2014-09-23,0.7891
2014-09-24,3.4447
2014-09-25,-0.9586
2014-09-26,1.8849
2014-09-29,-1.8
2014-09-30,0.0509
2014-10-01,-2.5445
2014-10-02,1.7231999999999998
2014-10-03,-2.0534
2014-10-06,2.3585
2014-10-07,-5.9396
2014-10-08,-0.7077
2014-10-09,-1.2061
2014-10-10,-2.2198
2014-10-13,-3.462
2014-10-14,-2.9394
2014-10-15,6.9655000000000005
2014-10-16,1.4723
2014-10-17,-5.0223
2014-10-20,2.1152
2014-10-21,2.1289
2014-10-22,-0.169
2014-10-23,1.693
2014-10-24,1.4428
2014-10-27,4.4858
2014-10-28,7.4346
2014-10-29,2.3392
2014-10-30,1.619
2014-10-31,-0.1874
2014-11-03,-1.6432
2014-11-04,-8.401
