ticker,ANCSQ US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-08-22,100.0
2000-08-30,-99.0
2001-01-11,2900.0
2001-01-19,900.0
2001-07-12,-90.0
2001-12-18,33.3333
2002-06-14,75.0
2002-07-03,28.5714
2002-09-04,-5.5556
2002-09-18,4.1176
2002-09-19,0.0
2002-12-16,-14.1243
2003-04-14,14.473700000000001
2003-04-22,-5.7471
2003-08-01,15.8537
2003-08-18,-14.7368
2003-11-11,-99.9846
2004-03-04,639900.0
2004-03-18,0.0
2004-09-13,8.75
2004-11-22,129.8851
2005-06-13,-45.0
2005-12-06,9.0909
2006-01-25,0.0
2006-06-21,5.8333
2007-02-01,-13.3858
2007-04-17,59.0909
2007-04-19,0.0
2007-04-27,0.0
2007-05-07,-14.2857
2007-06-13,-16.6667
2007-07-20,0.0
2007-07-26,0.0
2007-09-06,23.2
2007-11-19,-18.8312
2007-12-11,0.0
2008-10-23,-5.6
2008-11-13,15.2542
2008-12-23,-15.4412
2008-12-31,-43.4783
2009-01-02,69.2308
2009-06-23,-31.8182
2009-08-03,0.0
2009-09-15,565.3333
2009-09-23,-86.5731
2009-10-16,-1.4925
2009-10-26,1.5152
2009-11-05,-1.4925
2009-12-09,1.5152
2009-12-10,0.0
2009-12-23,2.9851
2010-11-29,117.3913
2011-01-03,0.0
2011-03-02,50.0
2011-03-07,-22.2222
2011-05-12,-68.5714
2011-07-29,0.0
2011-09-16,9.0909
2012-01-03,10.0
2012-11-29,-21.2121
2012-12-04,-1.9231
2013-03-07,-39.2157
2013-10-14,0.0
2013-12-11,-29.0323
2014-01-07,0.0
2014-01-21,0.0
2014-06-16,9.5455
2014-06-25,-58.5062
2015-05-29,0.0
2017-07-26,-85.0
2017-10-31,0.0
2018-01-25,0.0
2019-10-18,1566.6667
2020-04-20,-99.88
