ticker,PVDG US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2016-11-08,0.0
2016-11-17,0.0
2016-11-22,0.0
2016-11-23,0.0
2016-11-29,0.0
2016-11-30,0.0
2016-12-13,0.0
2017-09-13,150.0
2017-10-25,-60.0
2017-10-26,-12.5
2017-10-27,14.2857
2017-10-30,-25.0
2017-10-31,-33.3333
2017-11-01,80.0
2017-11-02,-5.0
2017-11-03,-12.2807
2017-11-06,0.0
2017-11-07,0.6667
2017-11-08,-17.2185
2017-11-10,-36.0
2017-11-14,-6.25
2017-11-15,0.0
2017-11-17,0.0
2017-11-20,-33.3333
2017-11-24,20.0
2017-11-29,-19.1667
2017-11-30,3.0928
2017-12-01,-20.0
2017-12-13,0.0
2017-12-14,19.25
2017-12-18,-18.8679
2017-12-20,-22.4806
2017-12-26,30.0
2017-12-27,15.3846
2017-12-29,-11.1111
2018-01-03,0.0
2018-01-05,25.0
2018-01-08,0.0
2018-01-09,0.0
2018-01-10,0.0
2018-01-12,0.0
2018-01-22,0.0
2018-01-23,-2.0
2018-02-16,-18.3673
2018-02-20,0.0
2018-02-21,-12.5
2018-02-23,0.0
2018-02-28,-22.8571
2018-03-16,-25.9259
2018-03-20,50.0
2018-03-23,0.0
2018-03-26,-3.3333
2018-04-03,3.4483
2018-04-04,0.0
2018-04-05,0.0
2018-04-06,33.3333
2018-04-13,-50.0
2018-04-18,0.0
2018-04-27,0.0
2018-05-01,154.95
2018-05-02,0.0
2018-05-03,-37.223
2018-05-04,-0.0312
2018-05-07,-3.0938
2018-05-10,-19.3486
2018-05-11,0.7597
2018-05-14,-12.6984
2018-05-15,17.2727
2018-05-16,16.2791
2018-05-17,-16.0
2018-05-18,-0.7937
2018-05-21,4.0
2018-05-22,0.0
2018-05-23,-3.8462
2018-05-24,20.0
2018-05-25,-18.3333
2018-05-29,0.0
2018-05-30,2.0408
2018-05-31,-18.0
2018-06-01,-4.878
2018-06-04,22.0513
2018-06-05,-15.9664
2018-06-06,15.0
2018-06-07,-14.7826
2018-06-08,12.2449
2018-06-11,-10.2273
2018-06-12,0.0
2018-06-13,-3.038
2018-06-14,20.1044
2018-06-15,-30.4348
2018-06-18,3.125
2018-06-19,81.8182
2018-06-20,-30.0
2018-06-21,-23.8095
2018-06-22,12.5
2018-06-25,-5.5556
2018-06-26,5.8824
2018-06-27,1.1056
2018-07-09,9.8961
2018-07-13,5.0
2018-07-17,1.9048
2018-07-18,-4.6729
2018-07-20,-4.4118
2018-07-25,7.6923
