ticker,AMBZ US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-0.8065
2000-01-10,-2.439
2000-01-11,3.3333
2000-01-18,-1.6129
2000-01-21,-4.0984
2000-01-24,4.2735
2000-01-27,0.0
2000-01-28,0.0
2000-02-02,0.0
2000-02-03,0.0
2000-02-07,-3.2787
2000-02-28,3.3898
2000-02-29,0.0
2000-03-07,-4.0984
2000-03-09,3.4188
2000-03-13,1.6529
2000-03-15,-2.439
2000-03-16,1.6667
2000-03-20,-1.6393
2000-03-21,-2.5
2000-03-27,4.2735
2000-03-31,0.0
2000-04-10,-1.2295
2000-04-12,-0.4149
2000-04-13,1.6667
2000-04-18,-3.2787
2000-04-19,1.6949
2000-04-20,-2.5
2000-04-24,2.5641
2000-04-27,-2.5
2000-05-17,2.5641
2000-05-18,-2.5
2000-05-24,0.8547
2000-05-25,-5.0847
2000-06-05,2.6786
2000-06-06,-1.7391
2000-06-07,0.0
2000-06-08,-3.5398
2000-06-09,-0.9174
2000-06-13,3.7037
2000-06-15,-4.4643
2000-06-20,2.8037
2000-06-23,1.8182
2000-06-30,0.0
2000-07-13,0.0
2000-07-31,-0.8929
2000-08-01,0.9009
2000-08-10,-3.5714
2000-08-16,-1.8519
2000-08-21,-0.9434
2000-08-28,1.9048
2000-09-01,-2.8037
2000-09-08,0.0
2000-09-11,-4.8077
2000-09-12,-3.0303
2000-09-14,1.0417
2000-09-15,-3.0928
2000-09-19,8.5106
2000-09-29,-1.9607999999999999
2000-10-02,-2.0
2000-10-19,6.1224
2000-10-27,-6.7308
2000-10-31,0.0
2000-11-29,6.1856
2000-12-07,-5.8252
2000-12-08,6.1856
2000-12-11,-1.9417
2000-12-21,0.9901
2000-12-29,0.0
2001-01-04,0.0
2001-01-08,-1.9607999999999999
2001-01-11,1.0
2001-01-12,-0.9901
2001-01-18,1.0
2001-01-19,-0.9901
2001-01-23,0.0
2001-01-26,0.0
2001-01-31,0.0
2001-02-02,0.0
2001-02-06,1.0
2001-02-07,-0.9901
2001-02-22,-2.0
2001-02-23,0.0
2001-03-06,0.0
2001-03-08,-1.5306
2001-03-09,-0.5181
2001-03-12,0.0
2001-03-14,0.0
2001-03-15,0.0
2001-03-16,0.0
2001-03-26,0.0
2001-04-03,0.0
2001-04-09,0.0
2001-04-10,0.0
2001-04-11,-2.0833
2001-04-12,2.1277
2001-04-17,-1.5833
2001-04-18,5.8425
2001-04-20,-4.0
2001-04-23,-1.25
2001-04-24,1.7932000000000001
