ticker,NHLG US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2005-05-06,30.0
2005-05-10,189.2308
2005-05-16,-50.0
2005-05-17,-75.0
2005-05-31,97.5
2005-06-16,46.8354
2005-06-28,-65.5172
2005-07-14,80.0
2005-07-19,-77.7778
2005-07-22,0.0
2005-08-04,0.0
2005-08-23,6.25
2005-08-31,0.0
2005-09-07,41.1765
2005-10-03,0.0
2005-10-07,0.0
2005-10-31,0.0
2005-11-17,0.0
2005-11-23,0.0
2005-11-25,1233.3333
2005-11-28,-75.0
2005-11-29,-50.0
2005-12-15,40.0
2005-12-21,-28.5714
2005-12-29,100.0
2005-12-30,100.0
2006-01-05,-35.0
2006-01-09,-7.6923
2006-01-17,45.8333
2006-01-18,-25.7143
2006-01-19,46.1538
2006-01-20,136.8421
2006-01-23,11.1111
2006-01-24,0.0
2006-01-25,-30.0
2006-01-26,-28.5714
2006-01-27,20.0
2006-01-30,-16.6667
2006-01-31,0.0
2006-02-01,0.0
2006-02-02,20.0
2006-02-03,-16.6667
2006-02-06,56.0
2006-02-07,58.9744
2006-02-08,-3.2258
2006-02-09,-25.0
2006-02-10,11.1111
2006-02-13,4.0
2006-02-14,-23.0769
2006-02-15,0.0
2006-02-16,12.5
2006-02-17,-2.2222
2006-02-21,0.0
2006-02-22,-11.3636
2006-02-23,-10.2564
2006-02-24,-2.8571
2006-02-27,-11.7647
2006-02-28,0.0
2006-03-01,-16.6667
2006-03-02,0.0
2006-03-03,0.0
2006-03-06,0.0
2006-03-07,0.75
2006-03-08,19.1067
2006-03-09,16.6667
2006-03-10,-14.2857
2006-03-13,-16.6667
2006-03-14,-20.0
2006-03-15,0.625
2006-03-16,4.3478
2006-03-17,0.0
2006-03-20,0.0
2006-03-22,0.0
2006-03-23,0.0
2006-03-27,4.7619
2006-03-28,0.0
2006-03-29,-0.5682
2006-04-03,-8.5714
2006-04-05,0.0
2006-04-06,0.0
2006-04-07,0.0
2006-04-10,0.0
2006-04-11,0.0
2006-04-12,0.0
2006-04-17,0.0
2006-04-18,0.0
2006-04-19,0.0
2006-04-20,0.0
2006-04-24,0.0
2006-04-25,0.0
2006-04-26,0.0
2006-04-27,0.0
2006-04-28,0.0
2006-05-01,0.0
2006-05-02,0.0
2006-05-03,0.0
2006-05-04,0.0
2006-05-05,0.0
2006-05-09,0.0
2006-05-10,0.625
2006-05-12,-0.6211
2006-05-15,0.0
2006-05-17,0.0
2006-05-18,0.0
2006-05-19,0.0
2006-05-23,0.0
