ticker,TOOD US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,4.4444
2000-01-04,-3.1915
2000-01-05,-2.1978
2000-01-06,0.0
2000-01-11,-1.1236
2000-01-13,0.0
2000-01-14,4.5455
2000-01-19,0.0
2000-01-20,0.0
2000-01-24,-1.087
2000-01-25,3.2967
2000-01-26,2.1277
2000-01-27,-2.0833
2000-01-28,2.1277
2000-01-31,4.1667
2000-02-01,0.0
2000-02-03,4.0
2000-02-04,-1.9231
2000-02-07,1.9607999999999999
2000-02-08,0.0
2000-02-09,0.9615
2000-02-14,0.0
2000-02-15,2.8571
2000-02-16,-1.8519
2000-02-17,-1.8868
2000-02-18,0.0
2000-02-24,0.9615
2000-02-25,-1.9048
2000-02-28,-0.9709
2000-03-01,7.8431
2000-03-02,0.0
2000-03-03,0.0
2000-03-06,-1.8182
2000-03-08,3.7037
2000-03-09,-1.7856999999999998
2000-03-10,-0.9091
2000-03-13,-4.5872
2000-03-14,3.8462
2000-03-15,-1.8519
2000-03-16,0.0
2000-03-17,-0.9434
2000-03-20,2.8571
2000-03-21,0.0
2000-03-22,-1.8519
2000-03-24,5.6604
2000-03-27,-1.7856999999999998
2000-04-04,-1.8182
2000-04-05,0.0
2000-04-12,1.8519
2000-04-13,1.8182
2000-04-18,0.0
2000-04-25,-3.5714
2000-04-28,-1.8519
2000-05-01,-1.8868
2000-05-03,1.9231
2000-05-04,-1.8868
2000-05-09,0.0
2000-05-22,-0.9615
2000-05-23,-0.9709
2000-05-24,-1.9607999999999999
2000-05-26,0.0
2000-05-30,2.0
2000-05-31,0.0
2000-06-01,1.9607999999999999
2000-06-02,0.0
2000-06-05,0.0
2000-06-06,-1.9231
2000-06-08,1.9607999999999999
2000-06-09,-1.9231
2000-06-16,-3.9215999999999998
2000-06-19,-2.0408
2000-06-21,-2.0833
2000-06-22,2.1277
2000-06-23,-4.1667
2000-06-26,2.1739
2000-06-27,-2.1277
2000-06-28,0.0
2000-06-29,0.0
2000-06-30,-2.1739
2000-07-05,-2.2222
2000-07-07,0.0
2000-07-10,-2.2727
2000-07-20,-2.3256
2000-07-21,1.1905000000000001
2000-07-26,-1.1764999999999999
2000-07-27,0.0
2000-07-28,0.0
2000-08-11,-4.7619
2000-08-18,-2.5
2000-08-25,0.0
2000-08-28,-1.2821
2000-09-06,1.2987
2000-09-08,0.0
2000-09-11,-1.2821
2000-09-12,0.0
2000-09-13,-1.2987
2000-09-14,1.3158
2000-09-20,0.0
2000-09-22,-1.2987
