ticker,BANF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-1.6575
2000-01-04,-3.2772
2000-01-05,-0.8712
2000-01-06,0.3906
2000-01-07,0.3891
2000-01-10,-2.907
2000-01-11,-5.1896
2000-01-12,4.6316
2000-01-13,-4.6278
2000-01-14,-0.211
2000-01-18,1.4799
2000-01-19,-0.625
2000-01-20,2.3061
2000-01-21,-3.2787
2000-01-24,-5.4025
2000-01-25,1.2318
2000-01-26,0.0
2000-01-27,0.2212
2000-01-28,-0.2208
2000-01-31,0.0
2000-02-01,0.885
2000-02-02,0.8772
2000-02-03,-0.8696
2000-02-07,3.0702
2000-02-08,-1.7021
2000-02-09,-1.0823
2000-02-10,0.7659
2000-02-11,-0.9772
2000-02-14,-0.4386
2000-02-15,2.2026
2000-02-16,0.6466
2000-02-17,-0.4283
2000-02-18,-0.2151
2000-02-22,-5.819
2000-02-23,1.6018
2000-02-24,-2.2523
2000-02-25,-0.4608
2000-02-28,0.0
2000-02-29,2.7778
2000-03-01,-2.2523
2000-03-02,1.4401
2000-03-03,4.0318
2000-03-06,-0.4367
2000-03-07,-1.9737
2000-03-08,-3.3557
2000-03-09,0.0
2000-03-13,-0.463
2000-03-14,0.0
2000-03-15,4.4186
2000-03-16,-2.4499
2000-03-17,-8.6758
2000-03-20,0.0
2000-03-21,4.5
2000-03-22,-4.3062000000000005
2000-03-23,4.0
2000-03-24,-3.8462
2000-03-27,0.0
2000-03-28,0.0
2000-03-29,0.14
2000-03-30,6.0302
2000-03-31,0.4739
2000-04-03,-3.3019
2000-04-04,1.4634
2000-04-05,3.8462
2000-04-06,0.463
2000-04-10,-5.0691
2000-04-11,-0.9709
2000-04-13,2.6961
2000-04-14,-0.716
2000-04-17,-1.2019
2000-04-18,-1.2165
2000-04-20,1.4778
2000-04-24,1.4563
2000-04-25,0.5383
2000-04-26,-0.7733
2000-04-27,0.9592
2000-04-28,2.3753
2000-05-01,2.0882
2000-05-02,1.8182
2000-05-04,-4.4643
2000-05-05,4.9065
2000-05-08,0.2227
2000-05-09,-2.6667
2000-05-10,-3.4247
2000-05-11,9.2199
2000-05-12,0.0
2000-05-15,-3.0303
2000-05-16,4.4643
2000-05-17,-0.8547
2000-05-18,-3.4483
2000-05-19,-2.6786
2000-05-22,6.8807
2000-05-23,0.8584
2000-05-24,0.0
2000-05-25,0.4255
2000-05-26,0.8475
2000-05-30,4.2017
2000-05-31,3.2258
2000-06-01,-3.125
2000-06-02,1.6129
2000-06-05,-5.9524
