ticker,MBI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-2.1302
2000-01-04,-4.9577
2000-01-05,0.8906
2000-01-06,2.6482
2000-01-07,0.9828
2000-01-10,-2.0681
2000-01-11,0.1242
2000-01-12,0.0
2000-01-13,0.0
2000-01-14,0.3722
2000-01-18,0.618
2000-01-19,0.7371
2000-01-20,-2.3171
2000-01-21,-1.1236
2000-01-24,-0.2525
2000-01-25,-1.1392
2000-01-26,-0.3841
2000-01-27,0.1285
2000-01-28,-1.1553
2000-01-31,4.026
2000-02-01,-2.8714
2000-02-02,-1.4139
2000-02-03,2.2164
2000-02-04,-2.2959
2000-02-07,-6.9191
2000-02-08,-7.9944
2000-02-09,-2.439
2000-02-10,-0.625
2000-02-11,-1.4151
2000-02-14,0.1595
2000-02-15,0.9554
2000-02-16,0.3155
2000-02-17,-0.1572
2000-02-18,-0.9449
2000-02-22,0.318
2000-02-23,-1.4263
2000-02-24,-3.6977
2000-02-25,-1.8364
2000-02-28,1.7006999999999999
2000-02-29,2.6756
2000-03-01,1.3029
2000-03-02,-1.4469
2000-03-03,0.4894
2000-03-06,-3.4091
2000-03-07,-1.5126
2000-03-08,0.6826
2000-03-09,9.322
2000-03-10,-2.4806
2000-03-13,3.4976
2000-03-14,7.3733
2000-03-15,7.4392
2000-03-16,6.1252
2000-03-17,-4.7679
2000-03-20,-0.6588
2000-03-21,3.9788
2000-03-22,-0.6378
2000-03-23,1.5764
2000-03-24,1.9036
2000-03-27,-4.1096
2000-03-28,2.0779
2000-03-29,1.2723
2000-03-30,2.7638
2000-03-31,1.8336999999999999
2000-04-03,0.0
2000-04-04,-1.6806999999999999
2000-04-05,-0.8547
2000-04-06,1.4778
2000-04-07,-0.6068
2000-04-10,1.3431
2000-04-11,0.0
2000-04-12,0.241
2000-04-13,-0.1202
2000-04-14,-5.8965
2000-04-17,1.5345
2000-04-18,1.3854
2000-04-19,-3.8509
2000-04-20,2.584
2000-04-24,1.1335
2000-04-25,4.4832
2000-04-26,-3.6949
2000-04-27,-2.599
2000-04-28,0.5083
2000-05-01,1.1378
2000-05-02,-0.875
2000-05-03,-1.3871
2000-05-04,-0.2558
2000-05-05,1.5385
2000-05-08,-0.3788
2000-05-09,-0.3802
2000-05-10,1.0178
2000-05-11,1.6373
2000-05-12,0.6196
2000-05-15,2.5862
2000-05-16,-0.3601
2000-05-17,-1.6867
2000-05-18,1.8382
2000-05-19,-0.361
2000-05-22,7.971
2000-05-23,1.3423
