ticker,HRSR US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-07-28,36.3636
2015-04-21,-26.6667
2015-04-22,81.8182
2015-04-23,200.0
2015-04-24,-16.6667
2015-04-29,20.0
2015-04-30,66.6667
2015-05-05,-50.0
2015-07-13,-30.0
2015-07-20,0.0
2015-09-09,-42.8571
2015-09-11,20.0
2015-09-14,-16.6667
2015-10-08,0.0
2015-10-13,0.0
2015-12-31,-29.6
2016-01-07,-0.5682
2016-01-27,0.0
2016-04-05,114.2857
2018-01-30,0.0
2018-02-14,-93.2667
2020-06-09,5840.5941
2020-06-30,-25.1667
2020-07-09,0.4454
2020-07-10,-5.5432
2020-07-13,0.0
2020-07-14,6.8075
2020-07-15,-0.2198
2020-07-16,-5.2863
2020-07-20,4.6512
2020-07-24,-4.4444
2020-07-28,-17.4419
