ticker,SMLP US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2012-09-28,5.55
2012-10-01,0.9
2012-10-02,-0.8451
2012-10-03,-0.7576
2012-10-04,-0.334
2012-10-05,0.0479
2012-10-08,-1.0048
2012-10-09,-0.0967
2012-10-10,0.1935
2012-10-11,1.014
2012-10-12,0.1912
2012-10-15,0.1431
2012-10-16,-0.8099
2012-10-17,0.1921
2012-10-18,-0.1918
2012-10-19,-0.7685
2012-10-22,-0.6292
2012-10-23,0.1461
2012-10-24,0.073
2012-10-25,-0.3645
2012-10-26,-0.2439
2012-10-31,-1.2225
2012-11-01,0.8911
2012-11-02,-0.5397
2012-11-05,0.3947
2012-11-06,2.801
2012-11-07,-1.5295999999999998
2012-11-08,-2.0388
2012-11-09,0.7433
2012-11-12,-0.5903
2012-11-13,-2.0287
2012-11-14,-3.1818
2012-11-15,-2.7126
2012-11-16,1.6622
2012-11-19,0.0527
2012-11-20,-0.3163
2012-11-21,-0.8197
2012-11-23,1.3063
2012-11-26,0.6316
2012-11-27,2.249
2012-11-28,-0.1023
2012-11-29,0.7168
2012-11-30,0.4575
2012-12-03,0.8603
2012-12-04,-1.5053
2012-12-05,-0.1528
2012-12-06,1.1224
2012-12-07,-0.0505
2012-12-10,-2.0697
2012-12-11,0.4124
2012-12-12,-1.4887000000000001
2012-12-13,0.5211
2012-12-14,-0.1555
2012-12-17,1.0903
2012-12-18,1.7976
2012-12-19,-0.4036
2012-12-20,0.2533
2012-12-21,-2.1728
2012-12-24,-0.1033
2012-12-26,-1.0341
2012-12-27,1.2539
2012-12-28,-0.6708
2012-12-31,3.013
2013-01-02,1.7650000000000001
2013-01-03,-0.6442
2013-01-04,0.0
2013-01-07,-0.2494
2013-01-08,-0.55
2013-01-09,-1.3575
2013-01-10,1.3761
2013-01-11,-0.7039
2013-01-14,-0.4051
2013-01-15,-0.2034
2013-01-16,0.1528
2013-01-17,0.1017
2013-01-18,-0.1524
2013-01-22,1.883
2013-01-23,0.4496
2013-01-24,3.3814
2013-01-25,2.5974
2013-01-28,2.9536
2013-01-29,-0.3643
2013-01-30,0.3199
2013-01-31,-0.3645
2013-02-01,0.0
2013-02-04,-0.0457
2013-02-05,-1.0064
2013-02-06,0.5652
2013-02-07,0.7026
2013-02-08,1.1628
2013-02-11,4.092
2013-02-12,0.3092
2013-02-13,0.1321
2013-02-14,0.8355
2013-02-15,-2.5294
2013-02-19,0.2237
2013-02-20,-0.8929
2013-02-21,-1.7117
2013-02-22,-0.6874
