ticker,SNA US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,1.1764999999999999
2000-01-04,-1.1628
2000-01-05,-3.7647
2000-01-06,0.2445
2000-01-07,2.439
2000-01-10,-1.9048
2000-01-11,1.4563
2000-01-12,3.11
2000-01-13,1.1601
2000-01-14,-0.4587
2000-01-18,1.3825
2000-01-19,-0.4545
2000-01-20,-0.6849
2000-01-21,-1.8391
2000-01-24,-1.4052
2000-01-25,-2.1378
2000-01-26,-0.4854
2000-01-27,3.4146
2000-01-28,-0.4717
2000-01-31,1.8957000000000002
2000-02-01,-1.6279
2000-02-02,0.7092
2000-02-03,2.1127
2000-02-04,-0.9195
2000-02-07,-2.0882
2000-02-08,-2.1327
2000-02-09,-3.632
2000-02-10,-2.2613
2000-02-11,-1.7995
2000-02-14,-0.5236
2000-02-15,2.1053
2000-02-16,-1.3711
2000-02-17,0.0
2000-02-18,-4.7493
2000-02-22,1.662
2000-02-23,-1.9074
2000-02-24,-1.6667
2000-02-25,0.8475
2000-02-28,0.5602
2000-02-29,-2.7855
2000-03-01,2.2923
2000-03-02,0.2801
2000-03-03,2.5140000000000002
2000-03-06,-1.9074
2000-03-07,-5.5556
2000-03-08,4.1176
2000-03-09,5.3672
2000-03-10,4.2895
2000-03-13,-1.0283
2000-03-14,-2.8571
2000-03-15,4.8128
2000-03-16,7.1429
2000-03-17,-1.1905000000000001
2000-03-20,2.8916
2000-03-21,-3.2787
2000-03-22,-0.4843
2000-03-23,1.7032
2000-03-24,-0.2392
2000-03-27,-3.5971
2000-03-28,0.0
2000-03-29,0.4975
2000-03-30,1.9802
2000-03-31,1.6989999999999998
2000-04-03,-1.1933
2000-04-04,0.9662
2000-04-05,-2.3923
2000-04-06,1.2255
2000-04-07,0.2421
2000-04-10,-2.657
2000-04-11,1.9851
2000-04-12,3.6496
2000-04-13,-0.939
2000-04-14,-5.6872
2000-04-17,5.0251
2000-04-18,0.7177
2000-04-19,-1.6627
2000-04-20,0.2415
2000-04-24,0.0
2000-04-25,6.506
2000-04-26,-1.3575
2000-04-27,-1.3761
2000-04-28,-1.6279
2000-05-01,1.6548
2000-05-02,-1.3953
2000-05-03,-2.3585
2000-05-04,-3.3816
2000-05-05,0.75
2000-05-08,0.0
2000-05-09,0.4963
2000-05-10,-3.2099
2000-05-11,10.2041
2000-05-12,-3.2407
2000-05-15,1.4354
2000-05-16,1.8868
2000-05-17,-1.9259
2000-05-18,0.0
2000-05-19,0.0
2000-05-22,-0.4762
