ticker,AHC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2008-01-25,-13.35
2008-01-30,2.4234999999999998
2008-01-31,-2.8169
2008-02-01,-2.8986
2008-02-07,0.0
2008-02-08,-2.0896
2008-02-11,-12.1951
2008-02-12,-5.5556
2008-02-13,1.3971
2008-02-14,-2.8281
2008-02-15,-1.6418
2008-02-19,0.5311
2008-02-20,-1.8868
2008-02-21,-4.2308
2008-02-22,4.739
2008-02-25,4.8313
2008-02-26,-2.414
2008-02-27,-4.7976
2008-02-28,-2.2835
2008-02-29,-1.9339
2008-03-03,0.0822
2008-03-04,-3.5304
2008-03-05,-0.1702
2008-03-06,0.1705
2008-03-07,-0.8511
2008-03-10,-0.8584
2008-03-11,-1.2121
2008-03-12,-0.7888
2008-03-13,1.6784
2008-03-14,-0.6082
2008-03-17,-4.7203
2008-03-18,0.1835
2008-03-19,-2.3810000000000002
2008-03-20,7.9737
2008-03-24,-2.4327
2008-03-25,6.3224
2008-03-26,-2.6801
2008-03-27,-2.0654
2008-03-28,-0.2636
2008-03-31,0.7048
2008-04-01,2.7122
2008-04-02,-5.6218
2008-04-03,0.1805
2008-04-04,-0.7207
2008-04-07,0.0907
2008-04-08,-2.1759
2008-04-09,-2.873
2008-04-10,-0.6679
2008-04-11,0.0
2008-04-14,2.4976
2008-04-15,4.1237
2008-04-16,1.6202
2008-04-17,3.4544
2008-04-18,2.4829
2008-04-21,-8.3542
2008-04-22,-3.8286
2008-04-23,-8.1517
2008-04-24,0.516
2008-04-25,4.2094
2008-04-28,0.5911
2008-04-29,-3.0362
2008-04-30,-1.5152
2008-05-01,-1.5385
2008-05-02,-4.6875
2008-05-05,0.5464
2008-05-06,-0.4348
2008-05-07,-4.2576
2008-05-08,-1.9384000000000001
2008-05-09,0.1163
2008-05-12,3.9489
2008-05-13,-3.352
2008-05-14,0.1156
2008-05-15,-2.1403
2008-05-16,1.9441000000000002
2008-05-19,0.1192
2008-05-20,-3.9286
2008-05-21,-7.1871
2008-05-22,0.267
2008-05-23,7.8562
2008-05-27,-0.9877
2008-05-28,2.7431
2008-05-29,5.5825
2008-05-30,9.1954
2008-06-02,-2.5263
2008-06-03,2.1598
2008-06-04,-0.8457
2008-06-05,1.0661
2008-06-06,-0.6329
2008-06-09,-2.3355
2008-06-10,-6.1957
2008-06-11,-6.1414
2008-06-12,-0.8642
2008-06-13,-0.7472
2008-06-16,-3.7641
2008-06-17,0.1304
2008-06-18,-2.6042
2008-06-19,-6.2834
