ticker,QUAD US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2010-07-07,1.0417
2010-07-08,-1.6495
2010-07-09,-0.9434
2010-07-12,-0.5291
2010-07-13,0.0
2010-07-14,-5.1277
2010-07-15,-4.4629
2010-07-16,5.6103
2010-07-19,-2.2227
2010-07-20,-2.1823
2010-07-21,-2.2775
2010-07-22,1.6885
2010-07-23,0.0
2010-07-26,0.4443
2010-07-27,-0.5588
2010-07-28,0.679
2010-07-29,-0.0233
2010-07-30,-1.0468
2010-08-02,-0.9873
2010-08-03,0.1899
2010-08-04,-4.5735
2010-08-05,5.2396
2010-08-06,-1.1326
2010-08-09,-0.7637
2010-08-10,1.5152
2010-08-11,1.3978
2010-08-12,1.0514000000000001
2010-08-13,2.0925
2010-08-16,-0.1472
2010-08-17,-0.7711
2010-08-18,0.32
2010-08-19,-0.3873
2010-08-20,-0.5032
2010-08-23,-1.2873999999999999
2010-08-24,-0.5589
2010-08-25,-0.2342
2010-08-26,0.1174
2010-08-27,0.2579
2010-08-30,0.0935
2010-08-31,-0.5841
2010-09-01,1.4101
2010-09-02,0.0927
2010-09-03,0.2778
2010-09-07,0.6465
2010-09-08,-1.3765
2010-09-09,0.6978
2010-09-10,0.4851
2010-09-13,0.1609
2010-09-14,0.0689
2010-09-15,1.5367
2010-09-16,1.4231
2010-09-17,8.0178
2010-09-20,-0.6186
2010-09-21,0.4149
2010-09-22,-1.2397
2010-09-23,-0.6276
2010-09-24,2.7368
2010-09-27,-1.4344000000000001
2010-09-28,-1.0395
2010-09-29,-1.6806999999999999
2010-09-30,-0.1709
2010-10-01,-0.8348
2010-10-04,-0.4964
2010-10-05,-0.3254
2010-10-06,-0.1959
2010-10-07,0.0872
2010-10-08,-1.6122
2010-10-11,-2.3472
2010-10-12,0.2268
2010-10-13,1.8326
2010-10-14,1.1553
2010-10-15,-0.3953
2010-10-18,-0.3087
2010-10-19,0.2212
2010-10-20,0.0883
2010-10-21,1.4333
2010-10-22,-0.6087
2010-10-25,0.5031
2010-10-26,-3.1556
2010-10-27,0.8989
2010-10-28,0.2227
2010-10-29,-0.6667
2010-11-01,0.5369
2010-11-02,-1.0903
2010-11-03,0.6974
2010-11-04,0.2681
2010-11-05,-0.9135
2010-11-08,1.6416
2010-11-09,2.3673
2010-11-10,-0.778
2010-11-11,-6.883
2010-11-12,-0.2105
2010-11-15,-1.5471
2010-11-16,-0.0952
2010-11-17,0.572
2010-11-18,0.545
2010-11-19,-1.037
2010-11-22,-0.7145
