ticker,TER US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-6.3447
2000-01-04,-3.0334
2000-01-05,-2.1898
2000-01-06,-4.9041
2000-01-07,2.13
2000-01-10,8.7816
2000-01-11,-2.9263
2000-01-12,1.5593
2000-01-13,-0.5118
2000-01-14,11.9342
2000-01-18,2.4816
2000-01-19,10.852
2000-01-20,-3.8026
2000-01-21,-2.6071999999999997
2000-01-24,-1.468
2000-01-25,1.0517
2000-01-26,-3.6427
2000-01-27,-1.1701
2000-01-28,-8.3789
2000-01-31,2.9821
2000-02-01,8.3977
2000-02-02,2.3152
2000-02-03,4.7868
2000-02-04,-3.3223
2000-02-07,5.756
2000-02-08,0.7311
2000-02-09,-3.2258
2000-02-10,5.25
2000-02-11,-4.5131
2000-02-14,2.5705
2000-02-15,1.536
2000-02-16,1.9108
2000-02-17,0.7813
2000-02-18,-3.876
2000-02-22,7.4193999999999996
2000-02-23,-2.7778
2000-02-24,6.2548
2000-02-25,-1.3081
2000-02-28,0.0736
2000-02-29,2.4283
2000-03-01,2.8736
2000-03-02,-6.2151
2000-03-03,5.3611
2000-03-06,-1.4134
2000-03-07,-0.2151
2000-03-08,-5.6034
2000-03-09,0.761
2000-03-10,8.2326
2000-03-13,-0.6281
2000-03-14,-8.3567
2000-03-15,-8.3525
2000-03-16,1.6722000000000001
2000-03-17,9.2105
2000-03-20,2.1084
2000-03-21,-2.0649
2000-03-22,8.4337
2000-03-23,-2.0139
2000-03-24,3.9688
2000-03-27,-2.7948
2000-03-28,-3.0154
2000-03-29,-3.1092
2000-03-30,-4.7761
2000-03-31,2.8213
2000-04-03,-9.6037
2000-04-04,9.1906
2000-04-05,7.4903
2000-04-06,10.6322
2000-04-07,1.8182
2000-04-10,-3.9541
2000-04-11,-2.0584
2000-04-12,-8.4068
2000-04-13,-1.2583
2000-04-14,-9.520199999999999
2000-04-17,15.6587
2000-04-18,5.3681
2000-04-19,0.2082
2000-04-20,4.5455
2000-04-24,-3.9585
2000-04-25,11.7568
2000-04-26,-1.1487
2000-04-27,5.6269
2000-04-28,1.9108
2000-05-01,-0.625
2000-05-02,-1.2006999999999999
2000-05-03,-7.2338000000000005
2000-05-04,4.7411
2000-05-05,3.5140000000000002
2000-05-08,-6.6168
2000-05-09,-7.5786
2000-05-10,-10.4
2000-05-11,-1.1905000000000001
2000-05-12,5.9488
2000-05-15,-1.1372
2000-05-16,2.66
2000-05-17,2.521
2000-05-18,-0.8197
2000-05-19,-6.6116
