ticker,WTKN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2009-09-24,230.3965
2009-09-25,36.6667
2009-09-28,46.3415
2009-09-29,0.0
2009-10-01,-33.2667
2009-10-07,0.0
2009-10-08,-20.0799
2009-10-09,25.125
2009-10-12,0.0
2009-11-04,19.8801
2009-12-04,0.0
2009-12-08,-16.6667
2009-12-10,0.0
2009-12-16,-20.0
2009-12-17,-35.0
2009-12-23,-38.4615
2009-12-28,37.5
2009-12-31,72.7273
2010-01-05,-21.0526
2010-01-07,66.6667
2010-01-11,68.0
2010-01-12,-61.9048
2010-01-13,-15.625
2010-01-14,-7.4074
2010-01-15,44.0
2010-01-19,38.8889
2010-01-20,-8.0
2010-01-21,-21.7391
2010-01-22,5.5556
2010-01-25,-6.3158
2010-01-26,0.0
2010-01-27,0.0
2010-01-28,-4.4944
2010-01-29,-11.7647
2010-02-01,-26.6667
2010-02-02,18.1818
2010-02-03,15.3846
2010-02-04,0.0
2010-02-05,3.3333
2010-02-08,-22.5806
2010-02-09,25.0
2010-02-10,-6.6667
2010-02-11,17.8571
2010-02-12,-18.1818
2010-02-16,-11.1111
2010-02-17,-8.3333
2010-02-18,4.5455
2010-02-19,21.7391
2010-02-22,-14.2857
2010-02-23,0.0
2010-02-24,4.1667
2010-02-25,-4.0
2010-02-26,0.0
2010-03-01,0.0
2010-03-02,4.1667
2010-03-03,-4.8
2010-03-04,0.8403
2010-03-05,0.0
2010-03-08,8.3333
2010-03-09,-7.6923
2010-03-10,-4.1667
2010-03-11,4.3478
2010-03-12,0.0
2010-03-15,-8.3333
2010-03-16,0.0
2010-03-17,-9.0909
2010-03-18,0.0
2010-03-22,15.0
2010-03-23,-4.3478
2010-03-24,-6.3636
2010-03-25,3.8834999999999997
2010-03-26,2.8037
2010-03-29,-8.1818
2010-03-30,3.9604
2010-03-31,4.7619
2010-04-01,-4.5455
2010-04-05,-4.7619
2010-04-06,0.0
2010-04-08,3.0
2010-04-09,-2.9126
2010-04-12,-10.0
2010-04-13,5.5556
2010-04-14,-5.2632
2010-04-15,0.0
2010-04-16,-33.3333
2010-04-19,0.2083
2010-04-20,-16.8399
2010-04-21,-10.0
2010-04-22,6.6667
2010-04-23,0.0
2010-04-26,-6.25
2010-04-27,6.6667
2010-04-28,0.0
2010-04-29,-16.4062
2010-04-30,2.1807
2010-05-03,19.9695
2010-05-04,-2.4142
2010-05-06,2.0833
2010-05-07,-18.3673
2010-05-10,0.0
2010-05-11,2.5
2010-05-12,-2.439
