ticker,XREG US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2013-12-09,-7.6923
2013-12-10,8.3333
2013-12-13,-23.0769
2013-12-17,0.0
2013-12-18,-16.0
2013-12-27,19.0476
2013-12-30,12.0
2013-12-31,-10.7143
2014-01-02,8.0
2014-01-07,7.4074
2014-01-08,3.4483
2014-01-09,1.6667
2014-01-10,0.0
2014-01-13,4.918
2014-01-14,1.5625
2014-01-15,-1.5385
2014-01-16,3.125
2014-01-17,7.5758
2014-01-21,-1.4085
2014-01-22,0.0
2014-01-23,1.4285999999999999
2014-01-24,-4.2254
2014-01-27,2.9412000000000003
2014-01-28,-4.2857
2014-01-29,-2.9851
2014-01-30,-13.8462
2014-01-31,30.3571
2014-02-05,0.0
2014-02-06,-7.5342
2014-02-07,8.1481
2014-02-14,12.3288
2014-02-19,0.0
2014-02-21,0.0
2014-02-25,-1.2195
2014-02-26,-1.2346
2014-02-27,0.0
2014-02-28,0.0
2014-03-05,6.25
2014-03-06,0.0
2014-03-07,0.0
2014-03-10,-1.1764999999999999
2014-03-11,7.1429
2014-03-12,-3.3333
2014-03-13,5.7471
2014-03-18,-3.2609
2014-03-19,1.1236
2014-03-21,0.0
2014-03-25,0.0
2014-03-26,0.0
2014-03-27,2.2222
2014-03-31,1.087
2014-04-01,0.0
2014-04-02,-5.914
2014-04-03,4.0
2014-04-04,1.0989
2014-04-07,1.087
2014-04-08,0.0
2014-04-09,0.0
2014-04-11,-5.3763
2014-04-14,-3.4091
2014-04-15,3.5294
2014-04-16,1.1364
2014-04-17,6.7416
2014-04-21,-1.0526
2014-04-22,-5.3191
2014-04-23,0.0
2014-04-24,2.2472
2014-04-25,4.3956
2014-04-28,2.1053
2014-04-29,-3.0928
2014-04-30,-2.1277
2014-05-01,0.0
2014-05-05,-1.087
2014-05-06,0.0
2014-05-07,3.2967
2014-05-08,0.0
2014-05-09,1.0638
2014-05-12,-2.1053
2014-05-13,2.1505
2014-05-14,-1.0526
2014-05-15,1.0638
2014-05-16,2.6316
2014-05-19,-2.5641
2014-05-20,2.1053
2014-05-21,3.0928
2014-05-22,0.0
2014-05-23,2.0
2014-05-27,-1.9607999999999999
2014-05-28,0.0
2014-05-29,-1.0
2014-05-30,-2.0202
2014-06-02,1.0309
2014-06-03,-3.0612
2014-06-04,4.7368
2014-06-05,2.5126
2014-06-06,0.9804
2014-06-09,0.0
2014-06-10,0.0
2014-06-11,0.9709
2014-06-12,0.0
2014-06-13,-0.9615
2014-06-16,2.9126
