ticker,NRCD US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2005-11-14,20.0
2005-11-25,312.5
2005-11-28,31.3131
2005-11-29,-24.6154
2005-12-01,-48.9796
2005-12-06,96.0
2005-12-07,1.0204
2005-12-08,1.0101
2005-12-09,-2.0
2005-12-12,1.0204
2005-12-13,1.0101
2005-12-21,10.0
2005-12-27,-10.0
2005-12-29,1.0101
2006-01-05,-10.0
2006-01-09,8.8889
2006-01-10,0.0
2006-01-11,-28.5714
2006-01-25,70.5714
2006-01-26,2.1776
2006-01-27,-0.8197
2006-02-01,-44.6281
2006-02-02,19.403
2006-02-03,-50.0
2006-02-06,50.0
2006-02-07,35.0
2006-02-16,60.4938
2006-02-17,23.0769
2006-02-21,-31.25
2006-02-22,-16.3636
2006-02-23,4.3478
2006-02-24,25.0
2006-02-27,-8.3333
2006-02-28,-12.7273
2006-03-01,-16.6667
2006-03-02,22.5
2006-03-03,-8.1633
2006-03-07,0.0
2006-03-08,11.1111
2006-03-10,0.0
2006-03-13,-12.0
2006-03-14,-15.9091
2006-03-15,35.1351
2006-03-17,10.0
2006-03-21,-30.9091
2006-03-22,-7.8947
2006-03-23,-2.8571
2006-03-24,7.3529
2006-03-27,-10.9589
2006-03-28,-7.6923
2006-03-29,13.3333
2006-03-30,2.9412000000000003
2006-03-31,0.0
2006-04-03,-14.2857
2006-04-04,26.6667
2006-04-05,26.3158
2006-04-06,14.5833
2006-04-07,10.9091
2006-04-10,6.5574
2006-04-11,7.6923
2006-04-12,-1.4285999999999999
2006-04-13,-10.1449
2006-04-17,8.0645
2006-04-18,-5.9701
2006-04-19,-25.3968
2006-04-20,-29.7872
2006-04-21,-6.0606
2006-04-24,9.6774
2006-04-25,-5.8824
2006-04-26,9.375
2006-04-27,-5.7143
2006-04-28,-18.1818
2006-05-01,-7.4074
2006-05-02,4.0
2006-05-03,-23.0769
2006-05-04,50.0
2006-05-05,-26.6667
2006-05-08,0.0
2006-05-09,10.2273
2006-05-10,-5.1546
2006-05-11,3.9130000000000003
2006-05-12,0.4184
2006-05-15,-29.1667
2006-05-16,-11.7647
2006-05-17,0.0
2006-05-18,-6.0
2006-05-19,13.4752
2006-05-22,12.5
2006-05-23,-5.5556
2006-05-24,-5.8824
2006-05-25,25.0
2006-05-26,-15.0
2006-05-30,17.647100000000002
2006-06-01,-30.0
2006-06-02,0.0
2006-06-05,3.5714
2006-06-06,-27.5862
2006-06-07,-4.7619
2006-06-13,0.0
2006-06-14,-50.0
