ticker,IPOB US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2020-06-19,1.1681
2020-06-22,3.9341
2020-06-23,2.2007
2020-06-24,-3.1008
2020-06-25,1.0667
2020-06-26,-0.7916
2020-06-29,3.5461
2020-06-30,0.5993
2020-07-01,-1.1915
2020-07-02,-1.1171
2020-07-06,-0.6995
2020-07-07,0.0
2020-07-08,0.4386
2020-07-09,1.5721
2020-07-10,1.4617
2020-07-13,-2.7119
2020-07-14,-0.2613
2020-07-15,1.6594
2020-07-16,3.0928
2020-07-17,0.0
2020-07-20,-0.5833
2020-07-21,0.5868
2020-07-22,0.4167
2020-07-23,-0.8299
2020-07-24,-0.2092
2020-07-27,0.6289
2020-07-28,-1.0833
2020-07-29,-1.6007
2020-07-30,-3.339
2020-07-31,-3.8973
