ticker,NSRS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2011-09-13,600.0
2011-12-27,241.4286
2011-12-28,54.393299999999996
2011-12-29,2.6762
2011-12-30,6.6315
2012-01-03,19.3069
2012-01-04,-10.3734
2012-01-05,-7.8993
2012-01-06,19.1329
2012-01-09,16.0338
2012-01-10,-10.7273
2012-01-11,-7.332
2012-01-12,27.4725
2012-01-13,-6.444
2012-01-17,12.3935
2012-01-18,31.9943
2012-01-19,9.5807
2012-01-20,-26.3143
2012-01-23,-4.6154
2012-01-24,-6.4315
2012-01-25,18.078
2012-01-26,-4.8175
2012-01-27,8.1288
2012-01-30,-0.5674
2012-01-31,5.5635
2012-02-01,10.0
2012-02-02,17.9361
2012-02-03,19.7917
2012-02-06,29.5652
2012-02-07,10.0671
2012-02-08,-40.8537
2012-02-09,-47.9381
2012-02-10,32.6733
2012-02-13,0.0
2012-02-14,-11.791
2012-02-15,-27.242
2012-02-16,20.9012
2012-02-17,5.6023
2012-02-21,-18.0556
2012-02-22,-22.2006
2012-02-23,-32.5714
2012-02-24,-11.8644
2012-02-27,-19.7115
2012-02-28,-34.1317
2012-02-29,59.0909
2012-03-01,-14.2857
2012-03-02,-4.6667
2012-03-05,4.8951
2012-03-06,2.0
2012-03-07,-6.5359
2012-03-08,-9.0909
2012-03-09,-11.2981
2012-03-12,10.1355
2012-03-13,-8.6614
2012-03-14,0.0
2012-03-15,7.7586
2012-03-16,-4.0
2012-03-19,-3.3333
2012-03-20,-6.0345
2012-03-21,-0.9174
2012-03-22,-4.1667
2012-03-23,-2.2343
2012-03-26,0.3088
2012-03-27,-1.3547
2012-03-28,9.8627
2012-03-29,2.7273
2012-03-30,-4.4248
2012-04-02,-7.4074
2012-04-03,0.0
2012-04-04,-12.0
2012-04-05,-9.0909
2012-04-09,-12.5
2012-04-10,-18.5714
2012-04-11,5.2632
2012-04-12,30.0
2012-04-13,34.6154
2012-04-16,-25.7143
2012-04-17,8.9744
2012-04-18,-11.7647
2012-04-19,-8.0
2012-04-20,1.4493
2012-04-23,5.7143
2012-04-24,-4.0541
2012-04-25,-3.7852
2012-04-26,2.4703
2012-04-27,-8.392900000000001
2012-04-30,-4.8733
2012-05-01,3.2787
2012-05-02,-4.7619
2012-05-03,-3.3333
2012-05-04,-3.4483
2012-05-07,-1.7856999999999998
2012-05-08,-5.4545
2012-05-09,0.0
2012-05-10,1.6827
2012-05-11,0.0
2012-05-14,0.0
2012-05-15,-14.8936
2012-05-16,0.0
