ticker,PAGP US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2013-10-16,0.0
2013-10-17,0.2273
2013-10-18,-0.6803
2013-10-21,-0.4566
2013-10-22,-1.3303
2013-10-23,0.186
2013-10-24,4.6404
2013-10-25,1.1086
2013-10-28,-2.0175
2013-10-29,0.0448
2013-10-30,-0.3132
2013-10-31,0.0449
2013-11-01,1.7945
2013-11-04,2.0714
2013-11-05,-1.0794
2013-11-06,1.0476
2013-11-07,0.432
2013-11-08,0.086
2013-11-11,-1.5041
2013-11-12,-0.0436
2013-11-13,-0.3055
2013-11-14,0.0438
2013-11-15,-1.6193
2013-11-18,0.2224
2013-11-19,-1.3759000000000001
2013-11-20,0.7651
2013-11-21,1.2952
2013-11-22,0.9259
2013-11-25,0.2184
2013-11-26,-0.0872
2013-11-27,1.7452
2013-11-29,0.7719
2013-12-02,0.0426
2013-12-03,0.5955
2013-12-04,0.1691
2013-12-05,1.0553
2013-12-06,1.7126000000000001
2013-12-09,0.2053
2013-12-10,-0.1639
2013-12-11,0.0411
2013-12-12,-0.041
2013-12-13,0.78
2013-12-16,-1.5070999999999999
2013-12-17,-0.4963
2013-12-18,2.1197
2013-12-19,1.0582
2013-12-20,1.6915
2013-12-23,1.7822
2013-12-24,1.284
2013-12-26,2.0745
2013-12-27,0.2258
2013-12-30,0.1878
2013-12-31,0.3373
2014-01-02,-2.1292
2014-01-03,-0.7634
2014-01-06,0.0
2014-01-07,-0.2692
2014-01-08,0.6942
2014-01-09,2.3363
2014-01-10,-0.4491
2014-01-13,-0.1128
2014-01-14,-0.0753
2014-01-15,-0.8663
2014-01-16,-0.076
2014-01-17,-1.0266
2014-01-21,-0.0384
2014-01-22,0.0
2014-01-23,-0.4612
2014-01-24,-2.7413
2014-01-27,-1.4291
2014-01-28,-0.0403
2014-01-29,0.3024
2014-01-30,2.9471
2014-01-31,-0.3137
2014-02-03,0.1967
2014-02-04,1.2564
2014-02-05,0.0388
2014-02-06,0.2713
2014-02-07,2.0874
2014-02-10,1.3631
2014-02-11,3.0631
2014-02-12,-0.5437
2014-02-13,-0.5831
2014-02-14,0.8065
2014-02-18,2.9091
2014-02-19,0.3534
2014-02-20,-1.9718
2014-02-21,-0.7184
2014-02-24,-2.2793
2014-02-25,0.074
2014-02-26,2.1088
2014-02-27,0.2899
2014-02-28,1.1561
2014-03-03,-0.7143
2014-03-04,0.7194
2014-03-05,-0.25
2014-03-06,0.3938
2014-03-07,-0.2853
2014-03-10,-0.9299
