ticker,MYOS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2010-02-24,-18.1818
2010-02-25,22.2222
2010-03-17,83.6364
2010-03-24,-3.9604
2010-03-30,198.9691
2010-04-29,34.4828
2010-04-30,0.0
2010-07-29,779.4872
2010-10-05,-95.9184
2010-10-13,0.0
2010-10-29,350.0
2010-11-01,-44.4444
2010-12-22,100.0
2010-12-23,0.0
2011-03-04,0.0
2011-03-21,0.0
2011-03-22,-2.0
2011-03-24,2.0408
2011-03-29,20.0
2011-04-01,68.3333
2011-04-04,9.901
2011-04-06,3.6036
2011-04-07,-4.3478
2011-04-08,68.1818
2011-04-11,-5.4054
2011-04-12,0.0
2011-04-13,-8.5714
2011-04-14,-6.25
2011-04-15,0.0
2011-04-18,10.0
2011-04-19,-24.2424
2011-04-25,12.0
2011-04-26,-10.7143
2011-04-27,0.0
2011-04-28,-12.8
2011-04-29,-31.1927
2011-05-02,0.0
2011-05-04,0.0
2011-05-05,0.0
2011-05-06,40.0
2011-05-09,-23.8095
2011-05-10,12.5
2011-05-11,0.0
2011-05-12,0.0
2011-05-16,-16.6667
2011-05-17,0.0
2011-05-19,0.0
2011-05-20,6.6667
2011-05-24,0.0
2011-05-25,-6.25
2011-05-26,6.6667
2011-05-27,5.0
2011-05-31,1.1905000000000001
2011-06-01,2.3529
2011-06-02,3.4483
2011-06-06,5.5556
2011-06-07,0.0
2011-06-08,-9.473700000000001
2011-06-09,-1.1628
2011-06-10,0.0
2011-06-13,7.0588
2011-06-14,-13.1868
2011-06-15,-11.3924
2011-06-16,7.1429
2011-06-17,4.0167
2011-06-20,2.5477
2011-06-21,-6.25
2011-06-22,0.0
2011-06-23,-6.6667
2011-06-24,-14.2857
2011-06-27,11.6667
2011-06-28,-2.9851
2011-06-29,-6.1538
2011-06-30,18.0328
2011-07-01,-8.3333
2011-07-05,0.7576
2011-07-06,2.2556
2011-07-07,1.4706000000000001
2011-07-08,4.3478
2011-07-11,1.3889
2011-07-12,1.3699
2011-07-13,-13.5135
2011-07-14,9.375
2011-07-15,0.0
2011-07-18,0.0
2011-07-19,-4.2857
2011-07-20,-2.9851
2011-07-21,6.1538
2011-07-22,0.0
2011-07-25,0.0
2011-07-26,-2.1739
2011-07-27,2.2222
2011-07-28,-23.1884
2011-07-29,-30.1887
2011-08-01,35.1351
2011-08-02,-12.0
2011-08-03,15.9091
2011-08-04,-15.4902
2011-08-05,18.3295
2011-08-08,-5.8824
2011-08-09,2.0833
2011-08-10,-8.1633
