ticker,VEC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-09-17,2.1356
2014-09-18,5.0
2014-09-19,-0.4329
2014-09-22,1.913
2014-09-23,1.9625
2014-09-24,0.4184
2014-09-25,-5.8333
2014-09-26,-3.7611
2014-09-29,-9.6552
2014-09-30,-0.6107
2014-10-01,-0.4608
2014-10-02,11.677
2014-10-03,0.1842
2014-10-06,-5.7471
2014-10-07,-3.8049
2014-10-08,0.2535
2014-10-09,7.9919
2014-10-10,-3.4192
2014-10-13,-1.7944
2014-10-14,1.037
2014-10-15,0.9775
2014-10-16,-0.726
2014-10-17,6.0946
2014-10-20,-7.8125
2014-10-21,-1.0469
2014-10-22,4.0806000000000004
2014-10-23,4.8403
2014-10-24,0.7849
2014-10-27,0.1374
2014-10-28,2.9276999999999997
2014-10-29,0.5778
2014-10-30,1.3699
2014-10-31,6.5388
2014-11-03,-4.2962
2014-11-04,-2.6935000000000002
2014-11-05,3.2513
2014-11-06,4.4254999999999995
2014-11-07,0.5705
2014-11-10,-0.3647
2014-11-11,5.5306999999999995
2014-11-12,-4.9711
2014-11-13,3.2847
2014-11-14,0.1178
2014-11-17,0.6667
2014-11-18,4.6747
2014-11-19,-3.2378
2014-11-20,3.1538
2014-11-21,0.1864
2014-11-24,1.3026
2014-11-25,0.8082
2014-11-26,1.4213
2014-11-28,1.5451000000000001
2014-12-01,0.1769
2014-12-02,0.4592
2014-12-03,4.2546
2014-12-04,-0.4047
2014-12-05,3.7927999999999997
2014-12-08,-3.0669
2014-12-09,-1.0771
2014-12-10,0.6465
2014-12-11,3.3807
2014-12-12,0.8175
2014-12-15,1.4272
2014-12-16,-0.0959
2014-12-17,-4.6735
2014-12-18,-0.1007
2014-12-19,-1.1092
2014-12-22,-0.2719
2014-12-23,1.0225
2014-12-24,1.0796000000000001
2014-12-26,-4.1722
2014-12-29,-2.1247
2014-12-30,-3.9502
2014-12-31,1.5191
2015-01-02,-0.0365
2015-01-05,-8.6163
2015-01-06,4.7543
2015-01-07,1.7544
2015-01-08,6.1469
2015-01-09,0.1412
2015-01-12,-2.6798
2015-01-13,1.1957
2015-01-14,-2.8643
2015-01-15,-0.8478
2015-01-16,1.0781
2015-01-20,-0.5149
2015-01-21,-0.2588
2015-01-22,0.6672
2015-01-23,1.0677
2015-01-26,2.0036
2015-01-27,1.1429
2015-01-28,-0.7768
2015-01-29,-0.9253
2015-01-30,0.0
2015-02-02,1.1853
2015-02-03,6.0348
2015-02-04,-4.1848
