ticker,LPTH US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,9.699
2000-01-04,-12.8049
2000-01-05,16.7832
2000-01-06,-6.2874
2000-01-07,-1.5974
2000-01-10,-1.2987
2000-01-11,-5.5921
2000-01-12,-6.6202
2000-01-13,-5.2239
2000-01-14,8.2677
2000-01-18,28.0
2000-01-19,-0.5682
2000-01-20,26.8571
2000-01-21,6.7568
2000-01-24,18.1435
2000-01-25,-0.5357
2000-01-26,-2.3339
2000-01-27,-5.8824
2000-01-28,-8.5938
2000-01-31,-7.906
2000-02-01,17.4014
2000-02-02,2.5692
2000-02-03,-3.8536
2000-02-04,-0.6012
2000-02-07,17.5403
2000-02-08,-3.0875
2000-02-09,-6.3717
2000-02-10,2.8355
2000-02-11,-3.8603
2000-02-14,4.5889
2000-02-15,-2.1938
2000-02-16,-4.1121
2000-02-17,2.729
2000-02-18,12.334
2000-02-22,1.6892
2000-02-23,17.1096
2000-02-24,6.5248
2000-02-25,-2.7963
2000-02-28,6.8493
2000-02-29,-3.5897
2000-03-01,1.4628
2000-03-02,-3.8007999999999997
2000-03-03,3.5422000000000002
2000-03-06,25.6579
2000-03-07,9.4241
2000-03-08,-6.4115
2000-03-09,-2.045
2000-03-10,-3.9666
2000-03-13,-10.4348
2000-03-14,-1.4563
2000-03-15,-14.0394
2000-03-16,-1.7191999999999998
2000-03-17,3.7901
2000-03-20,-10.1124
2000-03-21,10.0
2000-03-22,-1.1364
2000-03-23,21.2284
2000-03-24,5.4815
2000-03-27,-6.9663
2000-03-28,-10.7488
2000-03-29,1.3532
2000-03-30,-11.749
2000-03-31,9.2284
2000-04-03,-16.3435
2000-04-04,-8.2781
2000-04-05,-9.3863
2000-04-06,8.7649
2000-04-07,11.1722
2000-04-10,-13.0148
2000-04-11,-6.4867
2000-04-12,-22.2278
2000-04-13,-16.6667
2000-04-14,-21.875
2000-04-17,28.8
2000-04-18,21.7391
2000-04-19,-11.8622
2000-04-20,-1.5918999999999999
2000-04-24,-2.3529
2000-04-25,11.3705
2000-04-26,-4.5301
2000-04-27,7.932
2000-04-28,3.4121
2000-05-01,2.0305
2000-05-02,-7.4627
2000-05-03,-3.2258
2000-05-04,2.5
2000-05-05,23.5772
2000-05-08,-2.6316
2000-05-09,-3.6036
2000-05-10,-7.4766
2000-05-11,9.0909
2000-05-12,11.342600000000001
2000-05-15,9.3555
2000-05-16,-1.7109999999999999
2000-05-17,-5.4159
2000-05-18,-1.0225
2000-05-19,-8.6777
