ticker,SDPI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-05-23,12.25
2014-05-27,-0.6682
2014-05-28,6.5022
2014-05-29,1.0526
2014-05-30,-2.0833
2014-06-02,11.7021
2014-06-03,10.4762
2014-06-04,4.3103
2014-06-05,6.9421
2014-06-06,-3.864
2014-06-09,2.5723000000000003
2014-06-10,-1.8809
2014-06-11,1.1182
2014-06-12,0.316
2014-06-13,-4.4094
2014-06-16,-5.4366
2014-06-17,-0.6969
2014-06-18,-0.5263
2014-06-19,3.351
2014-06-20,0.1706
2014-06-23,3.0664
2014-06-24,4.9587
2014-06-25,7.4016
2014-06-26,-2.0528
2014-06-27,-1.1976
2014-06-30,-1.3636
2014-07-01,-0.3072
2014-07-02,-0.9245
2014-07-03,-0.4666
2014-07-07,2.3437
2014-07-08,-0.7634
2014-07-09,-4.6154
2014-07-10,-1.2903
2014-07-11,-1.1438
2014-07-14,-3.8017
2014-07-15,-2.0619
2014-07-16,0.8772
2014-07-17,1.7391
2014-07-18,0.8547
2014-07-21,6.1017
2014-07-22,1.278
2014-07-23,1.1041
2014-07-24,-1.092
2014-07-25,-2.2082
2014-07-28,1.6129
2014-07-29,-1.5873
2014-07-30,0.3226
2014-07-31,0.0
2014-08-01,-2.8939
2014-08-04,-3.9735
2014-08-05,-0.8621
2014-08-06,1.2174
2014-08-07,-1.2027
2014-08-08,-0.5217
2014-08-11,4.7203
2014-08-12,-0.6678
2014-08-13,-0.6555
2014-08-14,5.5659
2014-08-15,1.7628
2014-08-18,-1.5748
2014-08-19,-1.12
2014-08-20,0.0
2014-08-21,-4.2071
2014-08-22,-2.5338000000000003
2014-08-25,-0.3466
2014-08-26,5.7391
2014-08-27,-1.1513
2014-08-28,0.6656
2014-08-29,2.4793
2014-09-02,-0.1613
2014-09-03,0.0
2014-09-04,-3.0695
2014-09-05,0.1667
2014-09-08,7.3211
2014-09-09,-1.2403
2014-09-10,10.832
2014-09-11,-1.4163999999999999
2014-09-12,2.5862
2014-09-15,0.7003
2014-09-16,1.8081
2014-09-17,-1.9125999999999999
2014-09-18,-0.8357
2014-09-19,-5.4775
2014-09-22,-1.9316
2014-09-23,1.0606
2014-09-24,-2.6987
2014-09-25,-1.3867
2014-09-26,-2.6563
2014-09-29,3.3708
2014-09-30,-2.4845
2014-10-01,-3.8217
2014-10-02,-0.6623
2014-10-03,0.5
2014-10-06,-0.4975
2014-10-07,-6.0
2014-10-08,-5.6738
2014-10-09,-4.3233
2014-10-10,-2.7504999999999997
