ticker,CWNOF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2006-11-01,-20.0
2006-11-02,25.0
2006-11-03,-20.0
2006-12-01,25.0
2006-12-08,-20.0
2006-12-22,0.0
2007-03-28,50.0
2007-04-13,-16.6667
2007-10-24,4.0
2007-11-01,0.0
2007-11-26,-3.8462
2007-12-31,4.0
2008-02-21,-3.8462
2008-05-02,-32.0
2008-05-08,-5.8824
2008-05-14,25.0
2008-05-23,-25.0
2008-06-05,0.0
2008-06-24,-18.6667
2008-06-30,21.3115
2008-07-09,6.7568
2008-07-10,0.0
2008-07-18,-24.0506
2008-07-25,25.0
2008-09-18,-33.3333
2008-09-19,0.0
2008-09-22,0.0
2008-09-23,6.0
2008-10-02,-5.6604
2008-10-07,-40.0
2008-10-24,13.3333
2008-10-28,0.0
2008-11-10,-38.2353
2008-12-10,-4.7619
2008-12-31,0.0
2009-01-09,-35.0
2009-01-16,92.3077
2009-02-25,0.0
2009-07-27,-40.0
2009-07-28,66.6667
2010-03-10,0.0
2010-05-05,100.0
2010-05-10,0.0
2010-05-11,0.0
2010-05-12,0.0
2010-05-20,-2.0
2010-05-28,2.0408
2010-06-23,0.0
2010-07-02,-0.2
2010-12-08,-0.0251
2010-12-10,20.2706
2010-12-14,1.6667
2010-12-15,-9.8361
2011-03-29,0.0
2011-04-28,-78.1818
2011-05-04,358.3333
2011-05-16,154.5455
2011-06-16,-3.5714
2011-08-01,-0.7407
2012-07-09,-91.0448
2012-07-10,866.6667
2012-12-12,-89.6552
2013-01-16,358.3333
2013-01-17,-36.3636
2013-01-23,28.5714
2013-01-28,-33.3333
2013-02-25,33.3333
2013-02-26,-12.5
2013-02-27,-28.5714
2013-03-01,0.0
2013-03-15,0.0
2013-05-07,0.0
2013-12-17,-80.0
2014-06-30,20.0
2014-09-25,8.3333
2014-12-05,0.0
2014-12-11,0.0
2015-01-14,-46.1538
2015-01-15,-57.1429
2015-06-11,6.6667
2015-09-04,-6.25
2016-05-19,766.6667
2016-06-13,-92.3077
2016-06-17,21.25
2016-06-21,4353.6082
2016-06-22,-82.7778
2016-06-24,3.2258
2016-06-27,-27.0833
2016-07-25,-42.8571
2016-11-04,0.0
2017-03-28,-25.0
2018-01-25,0.0
2019-01-24,-33.5
2019-04-22,-24.812
2020-01-24,-89.3333
