ticker,EXLS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2006-10-20,39.5556
2006-10-23,-2.9193
2006-10-24,-3.2805
2006-10-25,10.2318
2006-10-26,3.0769
2006-10-27,2.4876
2006-10-30,0.4369
2006-10-31,0.5317
2006-11-01,-3.125
2006-11-02,2.5806
2006-11-03,-1.79
2006-11-06,-3.9409
2006-11-07,-2.5128
2006-11-08,0.5786
2006-11-09,4.6025
2006-11-10,-0.95
2006-11-13,-0.9591
2006-11-14,2.9052
2006-11-15,5.6959
2006-11-16,20.8997
2006-11-17,-1.2403
2006-11-20,-0.6279
2006-11-21,0.158
2006-11-22,-2.1688
2006-11-24,-1.2898
2006-11-27,-0.0817
2006-11-28,0.1226
2006-11-29,-8.2857
2006-11-30,0.534
2006-12-01,-0.7083
2006-12-04,-1.6942
2006-12-05,-4.8073
2006-12-06,0.0476
2006-12-07,-0.9524
2006-12-08,-0.0962
2006-12-11,0.2406
2006-12-12,2.449
2006-12-13,0.0463
2006-12-14,2.6698
2006-12-15,0.5931
2006-12-18,-0.2268
2006-12-19,-2.8636
2006-12-20,2.1058
2006-12-21,-0.8249
2006-12-22,-2.4954
2006-12-26,-0.6635
2006-12-27,-0.1908
2006-12-28,-0.3346
2006-12-29,0.9113
2007-01-03,-2.1863
2007-01-04,2.0408
2007-01-05,0.4762
2007-01-08,-0.0474
2007-01-09,-0.1897
2007-01-10,2.4703
2007-01-11,3.8016
2007-01-12,1.4292
2007-01-16,1.365
2007-01-17,-0.1303
2007-01-18,0.087
2007-01-19,2.3903
2007-01-22,-0.6791
2007-01-23,-0.2564
2007-01-24,0.0857
2007-01-25,1.4983
2007-01-26,0.0844
2007-01-29,2.8234
2007-01-30,1.3934
2007-01-31,-0.0808
2007-02-01,0.8091
2007-02-02,1.0835
2007-02-05,3.9698
2007-02-06,1.4891
2007-02-07,0.3386
2007-02-08,0.5249
2007-02-09,0.5222
2007-02-12,-0.5937
2007-02-13,0.1866
2007-02-14,-5.3279
2007-02-15,-3.66
2007-02-16,-1.9607999999999999
2007-02-20,-0.5833
2007-02-21,0.1724
2007-02-22,3.1751
2007-02-23,0.0406
2007-02-26,-1.135
2007-02-27,-3.731
2007-02-28,-3.4923
2007-03-01,3.3981
2007-03-02,-2.3474
2007-03-05,2.972
2007-03-06,-2.9711
2007-03-07,-0.7437
2007-03-08,0.9696
2007-03-09,2.6626
2007-03-12,0.7653
2007-03-13,-2.3207
2007-03-14,-1.9438
2007-03-15,-0.1762
