ticker,CUBI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2012-02-22,0.0
2012-02-27,-8.3333
2012-02-29,-6.8182
2012-03-09,-0.4878
2012-04-11,0.4902
2012-04-24,19.5122
2012-05-03,-2.0408
2012-05-07,4.1667
2012-05-08,-12.0
2012-05-15,13.6364
2012-05-22,0.0
2012-06-01,-12.0
2012-06-21,0.0
2012-06-26,8.1818
2012-06-27,-7.395
2012-06-28,6.6243
2012-06-29,0.0
2012-07-03,5.7872
2012-07-05,4.5857
2012-07-13,-9.6154
2012-07-19,-2.1277
2012-07-25,-3.0435
2012-07-26,2.2422
2012-07-31,3.0702
2012-08-01,2.1277
2012-08-06,4.1667
2012-08-07,4.0
2012-08-16,0.0
2012-08-29,1.9231
2012-08-30,0.0
2012-09-04,0.0
2012-09-07,5.6604
2012-09-18,0.0
2012-09-25,0.0
2012-09-28,0.0
2012-10-02,0.0
2012-10-04,-4.6429
2012-10-05,4.8689
2012-10-16,0.0
2012-10-19,0.0
2012-10-23,0.0
2012-10-31,30.3571
2012-11-07,-17.8082
2012-11-12,0.3333
2012-11-13,5.9801
2012-11-14,-8.4639
2012-11-15,0.0
2012-11-19,-3.2877
2012-11-20,6.2323
2012-11-26,-0.2667
2012-11-27,-0.1337
2012-11-28,0.4016
2012-11-29,-6.6667
2012-11-30,8.5714
2012-12-04,-7.8289
2012-12-05,1.7130999999999998
2012-12-06,-2.4561
2012-12-07,-2.2302
2012-12-10,-3.6056
2012-12-11,3.8167999999999997
2012-12-12,2.9412000000000003
2012-12-13,-1.7856999999999998
2012-12-14,3.2727
2012-12-17,-1.338
2012-12-18,0.0
2012-12-19,0.0714
2012-12-20,1.2839
2012-12-21,-1.1972
2012-12-27,1.9243999999999999
2012-12-28,0.0
2012-12-31,1.3986
2013-01-04,3.3103
2013-01-07,0.0
2013-01-14,0.1335
2013-01-17,3.2667
2013-01-18,-3.1633
2013-01-22,0.0
2013-01-25,-3.3333
2013-01-28,0.0
2013-01-29,0.0
2013-01-30,0.0
2013-01-31,3.4483
2013-02-06,2.0
2013-02-07,-1.2418
2013-02-08,0.5956
2013-02-13,6.5132
2013-02-15,8.7091
2013-02-19,2.2727
2013-02-20,-5.5556
2013-02-21,-0.7647
2013-02-22,2.2525
2013-02-25,-4.3478
2013-02-26,2.4848
2013-02-27,0.5322
2013-02-28,1.1764999999999999
2013-03-01,-0.5814
2013-03-04,-2.0468
2013-03-05,-1.194
2013-03-06,1.2085
2013-03-07,2.0896
