ticker,WHF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2012-12-05,-7.3333
2012-12-06,1.9415
2012-12-07,-0.4226
2012-12-10,0.2835
2012-12-11,0.7774
2012-12-12,0.2805
2012-12-13,0.6294
2012-12-14,-0.278
2012-12-17,1.0453
2012-12-18,0.0
2012-12-19,-0.6897
2012-12-20,1.9444
2012-12-21,-0.8856
2012-12-24,0.4124
2012-12-26,-0.7666
2012-12-27,0.2085
2012-12-28,2.5659
2012-12-31,0.1352
2013-01-02,1.418
2013-01-03,-0.7989
2013-01-04,0.604
2013-01-07,-0.6004
2013-01-08,0.0
2013-01-09,0.2685
2013-01-10,-0.6024
2013-01-11,0.0
2013-01-14,-0.0673
2013-01-15,0.0674
2013-01-16,-0.2694
2013-01-17,-0.4727
2013-01-18,-0.1357
2013-01-22,0.4076
2013-01-23,-0.406
2013-01-24,0.0679
2013-01-25,0.1757
2013-01-28,-0.3109
2013-01-29,0.9517
2013-01-30,0.8754
2013-01-31,0.1335
2013-02-01,-0.0667
2013-02-04,0.0667
2013-02-05,-0.0667
2013-02-06,-0.934
2013-02-07,-0.5387
2013-02-08,1.4218
2013-02-11,-0.8678
2013-02-12,1.0101
2013-02-13,0.0
2013-02-14,0.0667
2013-02-15,-0.3464
2013-02-19,-0.0535
2013-02-20,0.8027
2013-02-21,-0.9954
2013-02-22,0.134
2013-02-25,0.4016
2013-02-26,-0.2667
2013-02-27,0.6016
2013-02-28,0.0
2013-03-01,0.0664
2013-03-04,1.2616
2013-03-05,0.5246
2013-03-06,-0.1957
2013-03-07,0.1307
2013-03-08,-0.1958
2013-03-11,0.5232
2013-03-12,0.1301
2013-03-13,0.3899
2013-03-14,0.0647
2013-03-15,0.2587
2013-03-18,0.7097
2013-03-19,-0.6919
2013-03-20,1.6320000000000001
2013-03-21,0.0
2013-03-22,0.9091
2013-03-25,-0.4505
2013-03-26,0.3878
2013-03-27,-0.5151
2013-03-28,2.4595000000000002
2013-04-01,-3.7271
2013-04-02,0.0656
2013-04-03,-1.5082
2013-04-04,1.3981
2013-04-05,-1.3132
2013-04-08,0.2661
2013-04-09,0.3318
2013-04-10,1.9180000000000001
2013-04-11,0.584
2013-04-12,-0.3226
2013-04-15,-3.4304
2013-04-16,2.4798999999999998
2013-04-17,-1.5043
2013-04-18,1.1288
2013-04-19,1.0506
2013-04-22,2.0143
2013-04-23,-0.3822
2013-04-24,0.0639
2013-04-25,0.1278
2013-04-26,0.0
2013-04-29,0.4467
2013-04-30,0.6989
