ticker,KRA US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2009-12-17,0.0741
2009-12-18,0.6662
2009-12-21,0.0
2009-12-22,0.2941
2009-12-23,0.2199
2009-12-24,-0.2195
2009-12-28,0.2199
2009-12-29,-0.1463
2009-12-30,-0.2198
2009-12-31,-0.4405
2010-01-04,1.7699
2010-01-05,4.4928
2010-01-06,1.2483
2010-01-07,0.0
2010-01-08,2.0548
2010-01-11,-1.0738
2010-01-12,-1.5604
2010-01-13,0.7581
2010-01-14,-0.4788
2010-01-15,0.0
2010-01-19,2.268
2010-01-20,-3.2258
2010-01-21,-1.5278
2010-01-22,0.0705
2010-01-25,0.0705
2010-01-26,-1.7606000000000002
2010-01-27,-0.3584
2010-01-28,-1.295
2010-01-29,0.2187
2010-02-01,0.6545
2010-02-02,0.289
2010-02-03,-0.2882
2010-02-04,-1.1561
2010-02-05,-3.0702
2010-02-08,-1.5836999999999999
2010-02-09,0.3065
2010-02-10,-0.6875
2010-02-11,3.8462
2010-02-12,0.7407
2010-02-16,1.4706000000000001
2010-02-17,0.0
2010-02-18,-0.5072
2010-02-19,0.1457
2010-02-22,-1.1636
2010-02-23,-0.1472
2010-02-24,0.4422
2010-02-25,-0.5869
2010-02-26,-0.4428
2010-03-01,0.2224
2010-03-02,1.4793
2010-03-03,-0.3644
2010-03-04,7.169
2010-03-05,5.3242
2010-03-08,1.5878
2010-03-09,-1.4992
2010-03-10,0.1943
2010-03-11,4.5895
2010-03-12,0.4326
2010-03-15,3.0154
2010-03-16,0.6571
2010-03-17,-1.0089
2010-03-18,0.9592
2010-03-19,-1.7221
2010-03-22,-0.3021
2010-03-23,2.6667
2010-03-24,4.1322
2010-03-25,2.6644
2010-03-26,-0.497
2010-03-29,-0.111
2010-03-30,0.0
2010-03-31,-0.7778
2010-04-01,1.6797
2010-04-05,2.0925
2010-04-06,1.5642
2010-04-07,1.3808
2010-04-08,0.5762
2010-04-09,-1.5625
2010-04-12,-1.4815
2010-04-13,-0.6982
2010-04-14,2.0011
2010-04-15,-1.4316
2010-04-16,-0.4841
2010-04-19,-1.5676
2010-04-20,0.659
2010-04-21,0.491
2010-04-22,-0.4886
2010-04-23,1.4729999999999999
2010-04-26,1.7742
2010-04-27,-0.2113
2010-04-28,0.9529
2010-04-29,1.2585
2010-04-30,-1.8125
2010-05-03,0.9494
2010-05-04,-4.7022
2010-05-05,-3.2895
2010-05-06,4.3084
2010-05-07,4.0217
2010-05-10,4.441
2010-05-11,0.1001
