ticker,DFIN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2016-09-27,8.8172
2016-09-28,-0.1976
2016-09-29,0.9901
2016-09-30,13.7255
2016-10-03,-20.7931
2016-10-04,-2.525
2016-10-05,-2.4118
2016-10-06,0.0915
2016-10-07,-4.2067
2016-10-10,5.4893
2016-10-11,5.5204
2016-10-12,-2.9588
2016-10-13,0.4861
2016-10-14,8.8391
2016-10-17,-2.7071
2016-10-18,1.0382
2016-10-19,-2.6715999999999998
2016-10-20,-0.2111
2016-10-21,5.8824
2016-10-24,-1.6787
2016-10-25,-0.6098
2016-10-26,-4.0082
2016-10-27,-5.2833
2016-10-28,-0.7647
2016-10-31,-2.7652
2016-11-01,-1.7715999999999998
2016-11-02,-1.234
2016-11-03,0.2403
2016-11-04,-0.6232
2016-11-07,-1.6401
2016-11-08,0.2943
2016-11-09,0.8802
2016-11-10,-6.35
2016-11-11,-0.1553
2016-11-14,5.2877
2016-11-15,2.8064999999999998
2016-11-16,-0.8621
2016-11-17,2.3670999999999998
2016-11-18,-2.0765
2016-11-21,-2.2651
2016-11-22,-0.9369
2016-11-23,-1.4435
2016-11-25,0.0
2016-11-28,-0.8081
2016-11-29,1.9857
2016-11-30,-4.7928
2016-12-01,-2.7792
2016-12-02,0.1618
2016-12-05,3.5541
2016-12-06,4.1082
2016-12-07,-1.049
2016-12-08,0.101
2016-12-09,1.059
2016-12-12,-1.8961999999999999
2016-12-13,-0.5595
2016-12-14,0.1023
2016-12-15,3.7302
2016-12-16,-0.2463
2016-12-19,-0.8395
2016-12-20,1.6932
2016-12-21,-0.7346
2016-12-22,-2.072
2016-12-23,0.0
2016-12-27,4.3325
2016-12-28,2.028
2016-12-29,8.2821
2016-12-30,0.4371
2017-01-03,2.0888
2017-01-04,2.8133
2017-01-05,0.2902
2017-01-06,-0.248
2017-01-09,-3.4811
2017-01-10,1.331
2017-01-11,0.1695
2017-01-12,-2.242
2017-01-13,-2.1203
2017-01-17,0.2653
2017-01-18,1.7196
2017-01-19,-2.124
2017-01-20,1.0186
2017-01-23,0.9645
2017-01-24,0.6079
2017-01-25,0.5179
2017-01-26,1.1164
2017-01-27,2.8025
2017-01-30,-0.7848
2017-01-31,0.2498
2017-02-01,0.9551
2017-02-02,0.0
2017-02-03,0.7404
2017-02-06,-1.1433
2017-02-07,0.7022
2017-02-08,-1.5175999999999998
2017-02-09,-0.3748
2017-02-10,-0.3344
2017-02-13,0.7131
2017-02-14,-0.5831
2017-02-15,-0.2514
