ticker,PAYX US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,0.0
2000-01-04,-7.5
2000-01-05,5.9122
2000-01-06,3.6683
2000-01-07,2.0
2000-01-10,1.6591
2000-01-11,-3.2641
2000-01-12,-1.3804
2000-01-13,5.4432
2000-01-14,7.0796
2000-01-18,-0.8264
2000-01-19,1.3889
2000-01-20,1.5068000000000001
2000-01-21,-1.0796000000000001
2000-01-24,-11.4598
2000-01-25,6.0092
2000-01-26,-0.1453
2000-01-27,0.2911
2000-01-28,-2.2583
2000-01-31,4.9107
2000-02-01,-0.1418
2000-02-02,-0.5682
2000-02-03,-1.4285999999999999
2000-02-04,-1.4493
2000-02-07,0.5882
2000-02-08,-0.2924
2000-02-09,-2.6393
2000-02-10,6.6265
2000-02-11,-3.6723
2000-02-14,9.0909
2000-02-15,-0.2688
2000-02-16,-1.3477000000000001
2000-02-17,6.0109
2000-02-18,-5.9277999999999995
2000-02-22,1.6438000000000001
2000-02-23,6.469
2000-02-24,3.6709
2000-02-25,-7.0818
2000-02-28,5.6505
2000-02-29,-0.3731
2000-03-01,-3.1211
2000-03-02,-1.2887
2000-03-03,2.2193
2000-03-06,1.9157
2000-03-07,-3.3835
2000-03-08,1.5564
2000-03-09,1.9157
2000-03-10,2.005
2000-03-13,-3.9312
2000-03-14,-0.1279
2000-03-15,1.2804
2000-03-16,-4.5512
2000-03-17,7.4172
2000-03-20,-1.233
2000-03-21,6.4919
2000-03-22,-0.5862
2000-03-23,-0.2358
2000-03-24,-2.6005000000000003
2000-03-27,2.4272
2000-03-28,-1.1848
2000-03-29,1.5588
2000-03-30,-0.2361
2000-03-31,-0.8284
2000-04-03,0.358
2000-04-04,-2.8537
2000-04-05,-3.06
2000-04-06,3.0303
2000-04-07,0.7353
2000-04-10,-5.4745
2000-04-11,5.4054
2000-04-12,3.1746
2000-04-13,1.0651
2000-04-14,-10.4215
2000-04-17,5.4902
2000-04-18,-0.4957
2000-04-19,-3.1133
2000-04-20,4.3702
2000-04-24,2.5862
2000-04-25,6.2425
2000-04-26,-6.2147
2000-04-27,2.5831
2000-04-28,-0.9412
2000-05-01,-4.5428
2000-05-02,-5.8165
2000-05-03,1.321
2000-05-04,-5.6063
2000-05-05,4.6961
2000-05-08,-3.6939
2000-05-09,-1.2328999999999999
2000-05-10,-1.6644
2000-05-11,9.591
2000-05-12,-2.4453
2000-05-15,1.3193
2000-05-16,0.5208
2000-05-17,-2.3316
2000-05-18,-2.122
2000-05-19,-1.897
