ticker,CLNH US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2013-08-07,50900.0
2013-09-23,-1.9607999999999999
2013-12-31,50.0
2014-02-25,-60.0
2014-04-02,150.0
2014-04-24,-71.3333
2014-04-25,-34.8837
2014-04-28,-3.5714
2014-04-29,-7.4074
2014-04-30,-15.5
2014-05-01,-19.5266
2014-05-05,0.0
2014-05-15,0.0
2014-05-19,-5.8824
2014-05-22,32.0313
2014-05-29,-45.3846
2014-06-03,-28.9274
2014-06-05,-14.6341
2014-06-09,-14.2857
2014-06-11,83.3333
2014-06-12,45.4545
2014-06-13,-27.8906
2014-06-16,19.61
2014-06-17,-14.4928
2014-06-23,-28.8136
2014-06-24,30.9524
2014-06-25,0.0
2014-06-26,0.0
2014-06-30,7.2727
2014-07-02,-1.6949
2014-07-08,0.0
2014-07-09,-56.8966
2014-07-10,-12.0
2014-07-11,-13.6364
2014-07-14,31.5789
2014-07-15,-4.0
2014-07-21,0.0
2014-07-30,7.0312
2014-08-07,1.2165
2014-08-29,-4.3269
2014-09-09,-19.598
2014-09-10,-15.0
2014-09-11,-4.7794
2014-09-12,0.0
2014-09-18,17.3745
2014-10-02,-21.0526
2014-10-07,33.3333
2014-10-09,0.0
2014-10-21,0.0
2014-10-22,11.875
2014-10-23,123.4637
2014-10-24,20.0
2014-10-27,66.6667
2014-10-28,0.0
2014-10-29,100.0
2014-10-30,25.0
2014-10-31,0.0
2014-11-04,4.0
2014-11-20,0.0
2014-12-02,15.3846
2014-12-05,33.3333
2014-12-09,12.5
2014-12-11,-11.1111
2015-04-27,-5.0
2015-05-04,-47.3684
2015-05-18,0.0
2015-09-09,-50.0
2015-09-11,0.0
2015-12-10,-20.0
2015-12-11,-37.5
2015-12-22,-40.0
2015-12-28,0.0
2015-12-30,0.0
2016-01-08,0.0
2016-01-22,-33.3333
2016-01-28,-20.0
2016-01-29,25.0
2016-02-03,-25.0
2016-02-10,0.0
2016-02-12,33.3333
2016-02-16,5.0
2016-02-17,19.0476
2016-02-18,20.0
2016-02-19,0.0
2016-02-22,66.6667
2016-02-24,-38.0
2016-02-25,45.1613
2016-02-26,-11.1111
2016-02-29,0.0
2016-03-01,0.0
2016-03-04,62.5
2016-03-08,9.2308
2016-03-29,-43.662
2016-03-30,0.0
2016-03-31,0.0
2016-04-22,29.6875
2016-07-13,21.5663
2016-08-15,-4.8563
2016-08-16,33.3333
2016-08-17,-12.5
2016-08-18,-14.2857
2016-08-19,25.0
2016-08-22,28.75
