ticker,BNGI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2006-12-22,0.0
2007-01-10,-55.4455
2007-02-05,344.4444
2007-02-26,597.5
2007-03-12,-11.1111
2007-03-28,-47.5
2007-05-10,-27.619
2007-05-29,32.8947
2007-06-12,-22.0297
2007-06-21,28.254
2007-06-22,-0.9901
2007-06-25,0.0
2007-07-12,50.0
2007-07-16,-10.0
2007-07-17,11.1111
2007-07-26,-3.3333
2007-08-22,-24.1379
2007-08-27,4.0909
2007-08-28,-2.1834
2007-08-29,0.8929
2007-08-30,-2.6549
2007-08-31,-0.9091
2007-09-05,0.9174
2007-09-07,-4.5455
2007-09-10,-0.4762
2007-09-26,0.4785
2007-09-28,-28.5714
2007-10-01,20.0
2007-10-02,4.4444
2007-10-03,2.1277
2007-10-04,1.0417
2007-10-05,3.0928
2007-10-09,7.0
2007-10-10,4.6729
2007-10-12,2.6786
2007-10-15,3.4783
2007-10-16,-1.0924
2007-10-17,1.1045
2007-10-18,5.042
2007-10-24,0.0
2007-10-25,-1.6
2007-10-26,0.1626
2007-10-29,-8.2792
2007-10-30,-5.3097
2007-10-31,12.1495
2007-11-01,3.3333
2007-11-02,1.6129
2007-11-05,3.9683
2007-11-06,4.1985
2007-11-07,0.3663
2007-11-08,-1.4599
2007-11-12,0.0
2007-11-19,6.6667
2007-11-20,2.0833
2007-11-21,2.0408
2007-11-23,1.3333
2007-11-26,-4.6053
2007-11-27,4.1379
2007-12-03,-3.3113
2007-12-04,-7.5342
2007-12-05,1.4907
2007-12-10,4.37
2007-12-11,-3.4965
2007-12-18,-26.8116
2007-12-19,3.9604
2007-12-21,-4.7619
2007-12-26,-10.0
2007-12-28,-5.5556
2007-12-31,2.3529
2008-01-04,-2.2989
2008-01-09,0.0
2008-01-10,-0.0147
2008-01-11,-5.8685
2008-01-15,-18.75
2008-01-16,4.6154
2008-01-17,32.3529
2008-01-22,-31.1111
2008-01-24,6.4516
2008-01-25,28.7879
2008-02-04,0.0
2008-02-05,-3.5294
2008-02-14,-24.3902
2008-02-21,-11.2903
2008-02-25,-7.2727
2008-02-26,7.8431
2008-03-06,6.6364
2008-03-07,-6.2234
2008-03-11,-5.4545
2008-03-12,-1.9231
2008-03-17,-15.6863
2008-03-28,-6.9767
2008-03-31,0.0
2008-04-01,0.0
2008-04-23,-12.5
2008-05-08,-42.8571
2008-05-15,0.0
2008-05-27,0.0
2008-05-28,-2.5
2008-06-03,-38.4615
2008-06-24,50.0
2008-07-15,-44.4444
