ticker,GLHD US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2011-10-19,0.0
2012-01-20,133.3333
2012-01-24,45.7143
2012-01-30,17.647100000000002
2012-02-01,8.3333
2012-02-02,0.0
2012-02-03,0.0
2012-02-07,55.3846
2012-03-27,8.9109
2012-03-28,10.0
2012-03-30,-0.8264
2012-04-02,-1.6667
2012-04-09,5.9322
2014-06-02,-20.0
2014-06-03,0.0
2014-06-04,-15.0
2014-09-03,0.0
2014-09-15,0.0
2015-01-21,-35.2941
2015-10-14,172.7273
2016-06-24,33.3333
2018-01-05,1150.0
2018-01-08,-88.0
2018-08-31,66.6667
2018-09-14,120.0
2018-09-20,-77.2727
2019-03-14,138.0
2019-03-25,0.0
2019-12-27,-74.4538
2020-01-30,-1.3158
2020-05-21,-49.9933
