ticker,CTXIF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2008-06-17,-20.0
2008-06-18,0.0
2008-11-20,-73.75
2009-09-17,-76.1905
2009-09-18,-40.0
2009-10-23,200.0
2009-10-27,0.0
2009-11-03,0.0
2009-11-09,0.0
2009-11-10,2.2222
2009-11-13,6.5217
2009-11-16,285.7143
2009-11-18,-57.672
2009-11-20,25.0
2009-11-23,13.0
2009-11-24,10.6195
2009-11-25,0.0
2009-11-27,8.0
2009-11-30,-18.5185
2009-12-01,-4.5455
2009-12-02,0.0
2009-12-03,9.5238
2009-12-04,4.3478
2009-12-07,8.3333
2009-12-08,-7.6923
2009-12-09,-4.1667
2009-12-10,4.3478
2009-12-11,-5.8333
2009-12-14,-6.1947
2009-12-15,3.7736
2009-12-16,-1.8182
2009-12-17,0.0
2009-12-18,0.0
2009-12-21,0.0
2009-12-22,-6.4815
2009-12-23,0.9901
2009-12-24,-1.9607999999999999
2009-12-28,3.0
2009-12-29,-2.9126
2009-12-30,-8.0
2009-12-31,19.5652
2010-01-04,27.2727
2010-01-05,2.8571
2010-01-06,14.5833
2010-01-07,-3.0303
2010-01-08,3.125
2010-01-11,3.0303
2010-01-12,-0.5882
2010-01-13,1.7751000000000001
2010-01-14,2.3256
2010-01-15,0.0
2010-01-19,2.2727
2010-01-20,1.6667
2010-01-21,-8.1967
2010-01-22,-5.3571
2010-01-25,-8.805
2010-01-26,-3.4483
2010-01-27,-2.8571
2010-01-28,2.2059
2010-01-29,-2.8777
2010-02-01,3.7037
2010-02-02,10.0
2010-02-03,-5.8442
2010-02-04,-8.9655
2010-02-05,3.0303
2010-02-08,4.4118
2010-02-09,3.5211
2010-02-10,-0.6803
2010-02-11,-2.7397
2010-02-12,2.1127
2010-02-16,-2.069
2010-02-17,5.6338
2010-02-18,0.0
2010-02-19,4.0
2010-02-22,-0.641
2010-02-23,10.9677
2010-02-24,1.1628
2010-02-26,0.5747
2010-03-01,0.0
2010-03-02,0.0
2010-03-03,0.0
2010-03-04,0.0
2010-03-05,0.0
2010-03-08,0.0
2010-03-09,2.8571
2010-03-10,2.7778
2010-03-11,2.7027
2010-03-12,-5.2632
2010-03-15,0.5556
2010-03-16,4.9724
2010-03-17,0.0
2010-03-18,0.0
2010-03-19,-2.1053
2010-03-22,-5.3763
2010-03-23,0.5682
2010-03-24,-1.1299
2010-03-25,0.0
2010-03-26,0.0
2010-03-29,0.0
2010-03-30,0.0
2010-03-31,-11.4286
2010-04-01,-1.2903
