ticker,BYSI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2017-03-09,-16.0
2017-03-10,14.5833
2017-03-13,2.3377
2017-03-14,-6.9162
2017-03-15,2.4131
2017-03-16,-0.1597
2017-03-17,5.6
2017-03-20,-2.0893
2017-03-21,-4.5718
2017-03-22,0.1622
2017-03-23,3.6158
2017-03-24,-3.125
2017-03-27,4.5161
2017-03-28,0.6224
2017-03-29,0.5572
2017-03-30,0.6101
2017-03-31,0.7074
2017-04-03,-0.853
2017-04-04,0.7591
2017-04-05,-0.5525
2017-04-06,0.3535
2017-04-07,1.1575
2017-04-10,-0.6468
2017-04-11,0.1002
2017-04-12,-0.2001
2017-04-13,2.7569
2017-04-17,0.4878
2017-04-18,1.8932
2017-04-19,2.9061
2017-04-20,-0.5093
2017-04-21,0.9772
2017-04-24,-0.3471
2017-04-25,-0.2529
2017-04-26,5.9805
2017-04-27,9.3613
2017-04-28,-1.44
2017-05-01,1.4205
2017-05-02,4.0416
2017-05-03,0.7692
2017-05-04,3.0148
2017-05-05,-2.4819
2017-05-08,0.304
2017-05-09,-0.303
2017-05-10,-1.7477
2017-05-11,-0.1547
2017-05-12,2.0527
2017-05-15,1.7078
2017-05-16,2.3881
2017-05-17,-1.9679
2017-05-18,2.2305
2017-05-19,1.7041
2017-05-22,4.5809999999999995
2017-05-23,1.915
2017-05-24,1.1406
2017-05-25,5.4726
2017-05-26,-0.3931
2017-05-30,1.8153000000000001
2017-05-31,8.2171
2017-06-01,9.7421
2017-06-02,11.2272
2017-06-05,1.8779
2017-06-06,0.8065
2017-06-07,-3.5657
2017-06-08,2.6784
2017-06-09,0.4155
2017-06-12,-2.6897
2017-06-13,-11.5521
2017-06-14,-8.3868
2017-06-15,2.9882999999999997
2017-06-16,4.1754999999999995
2017-06-19,-8.3967
2017-06-20,-6.2593
2017-06-21,-5.0158
2017-06-22,8.2792
2017-06-23,9.8462
2017-06-26,6.7227
2017-06-27,2.3622
2017-06-28,7.1795
2017-06-29,2.6316
2017-06-30,-0.0583
2017-07-03,12.7697
2017-07-05,-5.1086
2017-07-06,-2.136
2017-07-07,-4.4543
2017-07-10,-6.7832
2017-07-11,-2.9507
2017-07-12,8.2195
2017-07-13,-4.4524
2017-07-14,4.3608
2017-07-17,-1.767
2017-07-18,1.5556999999999999
2017-07-19,-3.7578
2017-07-20,-3.0092
2017-07-21,-3.0769
2017-07-24,10.3968
2017-07-25,-4.8646
2017-07-26,-2.3678
2017-07-27,1.9092
2017-07-28,-1.2405
