ticker,HPIL US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2007-06-08,2566.6667
2007-06-19,-50.0
2007-06-22,-12.5
2007-06-28,14.2857
2007-07-03,35.0
2007-08-02,-35.1852
2007-08-09,-40.0
2007-08-10,4.7619
2007-08-16,13.6364
2007-09-05,-44.0
2007-09-27,98.5714
2007-12-26,61.8705
2009-07-31,11.1111
2009-08-06,-2.0
2009-09-09,53.0612
2009-09-15,126.6667
2010-03-17,5.8824
2010-05-18,5.5556
2010-05-19,-7.8947
2010-05-20,0.0
2010-05-21,0.0
2010-05-25,14.857099999999999
2010-07-13,0.0
2010-08-18,0.0
2010-11-17,0.4975
2011-04-05,-97.5248
2012-09-25,240.0
2012-11-02,18.8235
2012-12-21,395.0495
2013-01-14,2.0
2013-03-04,6.8627
2013-06-04,0.0
2013-09-11,0.9174
2013-09-17,0.0
2013-09-18,0.0
2013-09-19,1.6364
2013-09-20,0.8945
2013-09-23,1.0638
2013-09-24,0.0
2013-09-26,0.0
2013-09-30,1.7544
2013-10-04,0.0
2013-10-24,0.0
2013-10-28,2.5862
2013-10-30,0.0
2013-10-31,0.0
2013-11-08,0.0
2013-11-11,0.0
2013-11-19,0.8403
2013-11-21,16.6667
2013-11-27,0.0
2013-12-03,2.1429
2013-12-09,1.3986
2013-12-10,0.0
2013-12-12,0.2759
2013-12-13,0.0
2013-12-16,0.0
2013-12-17,0.0
2013-12-19,0.4127
2014-01-23,-5.4795
2014-01-24,3.7681
2014-01-29,11.7318
2014-02-04,-0.625
2014-02-14,0.0
2014-02-20,-0.6289
2014-02-24,-0.6329
2014-02-26,0.2548
2014-03-10,-11.0546
2014-03-11,6.7143
2014-03-13,0.8032
2014-03-14,0.2656
2014-03-17,0.2649
2014-03-18,-0.1321
2014-03-19,0.1323
2014-03-20,0.5284
2014-03-21,0.5256
2014-03-24,-0.7843
2014-03-25,0.3953
2014-03-26,0.1312
2014-03-27,2.3590999999999998
2014-03-28,4.3534
2014-03-31,0.2454
2014-04-01,0.3672
2014-04-02,-0.122
2014-04-03,-0.2442
2014-04-04,-0.4896
2014-04-07,0.246
2014-04-08,-0.4908
2014-04-09,-1.8496000000000001
2014-04-10,-0.5025
2014-04-11,0.1263
2014-04-14,3.7831
2014-04-15,0.243
2014-04-16,-4.8485
2014-04-17,0.2548
2014-04-21,-1.1436
2014-04-22,-2.3136
2014-04-23,1.1842
2014-04-24,-1.1703999999999999
2014-04-25,-1.3158
2014-04-28,-3.0667
2014-04-29,0.0
