ticker,DLMI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-11,200.0
2000-01-12,66.6667
2000-04-04,0.0
2000-04-25,-80.0
2000-04-27,800.0
2000-05-24,0.0
2000-05-25,0.0
2000-06-01,0.0
2000-06-30,0.0
2000-07-06,11.1111
2000-07-07,0.0
2000-09-18,-30.0
2000-09-27,-7.1429
2000-10-09,53.8462
2000-10-19,-40.0
2000-11-15,-33.3333
2001-02-13,0.0
2001-02-26,50.0
2001-03-15,0.0
2001-03-29,-16.6667
2001-05-09,-20.0
2001-05-16,50.0
2001-07-13,-33.3333
2001-08-03,25.0
2001-08-20,40.0
2001-11-02,-71.4286
2001-11-20,-50.0
2002-03-04,0.0
2002-03-21,400.0
2002-04-01,20.0
2002-05-15,0.0
2002-05-16,-65.0
2002-07-02,-4.7619
2002-07-11,0.0
2002-08-02,-50.0
2002-09-13,200.0
2002-10-02,-83.3333
2002-10-10,0.0
2002-10-23,-60.0
2003-03-13,350.0
2003-07-17,-11.1111
2003-12-30,0.0
2004-05-21,525.0
2004-06-01,-80.0
2004-06-15,0.0
2004-09-14,400.0
2004-09-23,20.0
2004-10-22,-33.3333
2004-12-14,-50.0
2005-01-05,0.0
2005-02-24,-25.0
2005-04-27,0.0
2005-04-28,0.0
2005-08-12,-33.3333
2005-08-15,0.0
2005-12-14,0.0
2006-01-19,0.0
2006-01-23,0.0
2006-01-27,0.0
2006-03-17,0.0
2006-03-30,400.0
2006-05-08,0.0
2006-05-23,-80.0
2006-06-06,0.0
2006-06-09,-50.0
2006-06-26,0.0
2006-08-14,20.0
2006-08-25,0.0
2006-10-18,66.6667
2006-11-22,-20.0
2007-01-08,-37.5
2007-02-13,60.0
2007-03-22,-25.0
2007-03-30,0.0
2007-04-20,66.6667
2007-05-04,100.0
2007-05-07,50.0
2007-05-14,0.0
2007-06-07,33.3333
2007-06-11,75.0
2007-06-19,-7.1429
2007-06-20,0.0
2007-06-21,-38.4615
2007-06-25,0.0
2007-06-26,0.0
2007-06-29,56.25
2007-07-02,4.0
2007-07-09,23.0769
2007-07-16,-12.5
2007-07-24,42.8571
2007-07-26,-50.0
2007-07-27,0.0
2007-08-03,140.0
2007-08-07,0.0
2007-08-13,-4.1667
2007-08-14,30.4348
2007-08-15,0.0
2007-08-16,13.3333
2007-08-20,-41.1765
2007-09-07,0.0
2007-10-19,-20.0
2007-10-31,18.75
2007-11-01,5.2632
2007-11-05,-20.0
2007-11-09,-12.5
2007-11-26,0.0
2007-11-30,0.0
