ticker,LOGC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-10-19,15.0
2018-10-22,-3.9130000000000003
2018-10-23,-8.5973
2018-10-24,-21.9802
2018-10-25,1.2690000000000001
2018-10-26,7.5188
2018-10-29,25.0583
2018-10-30,2.1435
2018-10-31,-2.4635
2018-11-01,3.8354
2018-11-02,2.4324
2018-11-05,1.3193
2018-11-06,-0.1736
2018-11-07,9.4783
2018-11-08,1.6680000000000001
2018-11-09,18.0469
2018-11-12,-9.1992
2018-11-13,1.312
2018-11-14,8.1295
2018-11-15,-6.1876
2018-11-16,0.4255
2018-11-19,-1.3418
2018-11-20,1.2169
2018-11-21,5.7992
2018-11-23,20.1872
2018-11-26,-11.2903
2018-11-27,-17.2414
2018-11-28,5.1515
2018-11-29,6.1239
2018-11-30,6.721
2018-12-03,-7.6972000000000005
2018-12-04,-3.377
2018-12-06,-3.709
2018-12-07,11.1111
2018-12-10,0.0
2018-12-11,-6.7333
2018-12-12,-11.937100000000001
2018-12-13,-21.2662
2018-12-14,-1.9588
2018-12-17,-7.9916
2018-12-18,-8.8
2018-12-19,12.6566
2018-12-20,-1.3348
2018-12-21,13.416
2018-12-24,-7.8529
2018-12-26,7.4434000000000005
2018-12-27,-8.9357
2018-12-28,11.0254
2018-12-31,3.2771
2019-01-02,-3.8462
2019-01-03,0.8
2019-01-04,-3.8689999999999998
2019-01-07,4.644
2019-01-08,-4.2406
2019-01-09,-2.2657
2019-01-10,-4.7418
2019-01-11,-4.646
2019-01-14,2.0882
2019-01-15,-4.3182
2019-01-16,-5.1068999999999996
2019-01-17,4.1302
2019-01-18,-2.4038
2019-01-22,-2.2167
2019-01-23,-0.1259
2019-01-24,3.2787
2019-01-25,2.5641
2019-01-28,-2.1429
2019-01-29,4.6229
2019-01-30,1.9767000000000001
2019-01-31,0.7982
2019-02-01,-3.9027
2019-02-04,0.2943
2019-02-05,7.1596
2019-02-06,-2.8478
2019-02-07,-0.9019
2019-02-08,-0.1138
2019-02-11,2.3918
2019-02-12,5.5617
2019-02-13,-1.1591
2019-02-14,-3.0917
2019-02-15,3.8504
2019-02-19,-0.5297
2019-02-20,-3.5144
2019-02-21,0.883
2019-02-22,3.6105
2019-02-25,4.2239
2019-02-26,1.7224
2019-02-27,-3.2869
2019-02-28,-5.5613
2019-03-01,4.7983
2019-03-04,-0.4162
2019-03-05,2.1944
2019-03-06,-2.863
2019-03-07,5.2632
2019-03-08,4.1
2019-03-11,-1.4409
2019-03-12,-2.6316
