ticker,PLSI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2011-09-23,14.7826
2011-09-26,0.3788
2011-09-27,-0.283
2011-09-28,0.2838
2011-09-29,-0.7547
2011-09-30,0.7676
2011-10-04,0.5212
2011-10-05,4.3544
2011-10-06,2.0683
2011-10-07,-0.2643
2011-10-10,-2.8269
2011-10-11,0.3636
2011-10-12,5.0725
2011-10-13,0.0
2011-10-14,5.1724
2011-10-19,-4.918
2011-10-24,6.8966
2012-02-24,-3.2258
2012-02-27,2.3333
2012-06-01,0.9772
2012-06-18,-4.8387
2012-08-31,-16.9492
2012-09-26,-0.4082
2012-09-28,-18.0328
2012-10-04,-25.0
2012-10-05,0.0
2013-03-26,0.0
2013-04-23,50.0
2013-04-24,0.0
2013-04-30,0.4444
2013-05-10,0.0
2013-05-15,0.0
2013-05-17,1.7699
2013-06-13,15.2174
2013-06-20,-14.717
2013-06-25,-4.4248
2013-06-27,26.8519
2013-06-28,-20.8029
2013-07-01,0.0
2013-08-08,-0.4608
2013-08-09,29.1667
2013-08-13,79.2115
2013-09-20,80.0
2013-09-23,38.8889
2013-09-30,-80.0
2013-10-02,28.0
2013-10-03,-3.125
2013-10-08,0.0
2013-10-09,0.0
2013-10-15,64.5161
2013-10-30,-34.3137
2014-02-03,1.4925
2014-03-05,150.0
2014-03-06,-10.0
2014-03-10,62.0915
2014-03-11,-7.2581
2014-03-12,-3.4783
2014-03-13,5.4054
2014-03-14,5.9829
2014-03-17,-7.2581
2014-03-18,-6.9565
2014-03-19,0.9346
2014-03-20,36.1111
2014-03-21,-2.7211
2014-03-24,-12.5874
2014-03-25,-7.2
2014-03-26,-0.8621
2014-03-27,3.4783
2014-03-28,0.8403
2014-03-31,5.0
2014-04-01,0.7937
2014-04-02,-1.5748
2014-04-03,4.8
2014-04-04,-0.7634
2014-04-07,-7.6923
2014-04-08,-0.8333
2014-04-09,0.0
2014-04-10,-3.3613
2014-04-11,-26.087
2014-04-14,-11.7647
2014-04-15,0.0
2014-04-16,-12.65
2014-04-17,-0.0191
2014-04-21,-0.7634
2014-04-22,43.8462
2014-04-23,-9.0909
2014-04-24,8.2353
2014-04-25,-7.6087
2014-04-28,7.0588
2014-04-29,-4.3956
2014-04-30,0.0
2014-05-01,-5.7471
2014-05-02,6.0976
2014-05-05,5.7471
2014-05-06,-6.5217
2014-05-07,7.5581
2014-05-08,0.0
2014-05-09,0.0
2014-05-12,3.7838000000000003
2014-05-13,-10.4036
2014-05-14,4.636
2014-05-15,20.0
