ticker,MCACU US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2020-06-05,0.4
2020-06-08,-0.0996
2020-06-09,0.0
2020-06-10,0.3988
2020-06-11,-0.5958
2020-06-12,0.1249
2020-06-15,-0.0249
2020-06-16,0.0998
2020-06-17,0.0
2020-06-18,1.1964
2020-06-19,0.0985
2020-06-22,-0.1969
2020-06-23,0.0986
2020-06-24,-1.0847
2020-06-25,0.2998
2020-06-26,-0.1986
2020-06-29,0.0995
2020-06-30,-0.1988
2020-07-01,0.5976
2020-07-02,0.0
2020-07-06,-0.198
2020-07-07,-0.1984
2020-07-08,0.3479
2020-07-09,0.0
2020-07-10,-0.4458
2020-07-13,0.995
2020-07-14,0.0
2020-07-15,-0.0985
2020-07-17,-0.1972
2020-07-20,0.3953
2020-07-21,-0.001
2020-07-23,-0.8849
2020-07-27,0.6951
2020-07-28,0.1972
2020-07-29,-0.8858
2020-07-30,0.0
2020-07-31,0.2979
