ticker,TELL US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,7.5
2000-01-04,-2.3256
2000-01-05,-2.3810000000000002
2000-01-06,2.439
2000-01-07,-2.3810000000000002
2000-01-10,0.0
2000-01-11,-2.439
2000-01-12,0.0
2000-01-13,2.5
2000-01-14,0.0
2000-01-18,4.878
2000-01-19,-2.3256
2000-01-20,0.0
2000-01-21,-2.3810000000000002
2000-01-24,0.0
2000-01-25,2.439
2000-01-26,2.3810000000000002
2000-01-27,-2.3256
2000-01-28,-2.3810000000000002
2000-01-31,-2.439
2000-02-01,5.0
2000-02-02,-2.3810000000000002
2000-02-03,2.439
2000-02-04,0.0
2000-02-07,0.0
2000-02-08,-2.3810000000000002
2000-02-09,0.0
2000-02-10,4.878
2000-02-11,-2.3256
2000-02-14,-4.7619
2000-02-15,2.5
2000-02-16,0.0
2000-02-17,4.878
2000-02-18,-2.3256
2000-02-22,0.0
2000-02-23,-2.3810000000000002
2000-02-24,4.878
2000-02-25,-4.6512
2000-02-28,-2.439
2000-02-29,0.0
2000-03-01,0.0
2000-03-02,10.0
2000-03-03,27.2727
2000-03-06,-1.7856999999999998
2000-03-07,5.4545
2000-03-08,0.0
2000-03-09,-6.8966
2000-03-10,-3.7037
2000-03-13,0.0
2000-03-14,-7.6923
2000-03-15,-8.3333
2000-03-16,4.5455
2000-03-17,-4.3478
2000-03-20,4.5455
2000-03-21,6.5217
2000-03-22,-4.0816
2000-03-23,-6.383
2000-03-24,2.2727
2000-03-27,-2.2222
2000-03-28,0.0
2000-03-29,2.2727
2000-03-30,0.0
2000-03-31,-2.2222
2000-04-03,-4.5455
2000-04-04,0.0
2000-04-05,0.0
2000-04-06,-2.3810000000000002
2000-04-07,7.3171
2000-04-10,-4.5455
2000-04-11,2.3810000000000002
2000-04-12,2.3256
2000-04-13,-4.5455
2000-04-14,-4.7619
2000-04-17,10.0
2000-04-18,0.0
2000-04-19,-9.0909
2000-04-20,0.0
2000-04-24,0.0
2000-04-25,2.5
2000-04-26,-2.439
2000-04-27,-2.5
2000-04-28,-2.5641
2000-05-01,0.0
2000-05-02,0.0
2000-05-03,-2.6316
2000-05-04,0.0
2000-05-05,0.0
2000-05-08,0.0
2000-05-09,0.0
2000-05-10,-2.7027
2000-05-11,5.5556
2000-05-12,0.0
2000-05-15,0.0
2000-05-16,0.0
2000-05-17,2.6316
2000-05-18,-2.5641
2000-05-19,-2.6316
2000-05-22,-2.7027
2000-05-23,2.7778
2000-05-24,0.0
