ticker,TOPS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2004-07-23,-3.6364
2004-07-26,-2.0755
2004-07-27,-1.7341
2004-07-28,5.4902
2004-07-29,3.9962999999999997
2004-07-30,2.3235
2004-08-02,-0.6987
2004-08-03,0.2639
2004-08-04,-0.9649
2004-08-05,-2.7458
2004-08-06,-0.7286
2004-08-09,-0.9174
2004-08-10,2.8704
2004-08-11,0.6301
2004-08-12,-2.0572
2004-08-13,0.3562
2004-08-16,0.0091
2004-08-17,0.546
2004-08-18,-0.0995
2004-08-19,-0.3533
2004-08-20,-0.3636
2004-08-23,-1.0949
2004-08-24,0.5535
2004-08-25,0.0
2004-08-26,0.2752
2004-08-27,-0.6404
2004-08-30,1.0129
2004-08-31,6.8368
2004-09-01,-3.5836
2004-09-02,0.531
2004-09-03,-0.9683
2004-09-07,2.0356
2004-09-08,-1.1238
2004-09-09,-3.0837
2004-09-10,1.9091
2004-09-13,5.7092
2004-09-14,-0.8439
2004-09-15,0.2553
2004-09-16,-0.6791
2004-09-17,-0.8547
2004-09-20,9.9138
2004-09-21,6.6667
2004-09-22,1.6912
2004-09-23,6.2834
2004-09-24,-3.1227
2004-09-27,0.632
2004-09-28,8.1647
2004-09-29,1.6065
2004-09-30,1.5303
2004-10-01,-0.1876
2004-10-04,-3.5714
2004-10-05,13.1189
2004-10-06,5.9797
2004-10-07,0.9756
2004-10-08,0.9125
2004-10-11,-8.0851
2004-10-12,-7.4074
2004-10-13,-5.9375
2004-10-14,12.9568
2004-10-15,2.8824
2004-10-18,-1.315
2004-10-19,-6.0255
2004-10-20,1.233
2004-10-21,0.3654
2004-10-22,-0.4854
2004-10-25,4.3293
2004-10-26,-0.6429
2004-10-27,0.5882
2004-10-28,-1.1053
2004-10-29,1.1176
2004-11-01,0.117
2004-11-02,-5.9579
2004-11-03,-1.7391
2004-11-04,1.3906
2004-11-05,-2.1197
2004-11-08,2.6115
2004-11-09,1.4898
2004-11-10,3.1193
2004-11-11,-0.5931
2004-11-12,-0.358
2004-11-15,1.1377
2004-11-16,8.585
2004-11-17,-2.9989
2004-11-18,3.9348
2004-11-19,-0.0541
2004-11-22,11.0931
2004-11-23,1.6074000000000002
2004-11-24,5.6998999999999995
2004-11-26,4.0864
2004-11-29,-0.1307
2004-11-30,-1.6143
2004-12-01,-6.8692
2004-12-02,-8.8139
2004-12-03,10.6005
2004-12-06,1.5109
2004-12-07,-7.6698
2004-12-08,-0.8614
2004-12-09,-1.6768
2004-12-10,-5.168
