ticker,TRVN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-01-31,-7.1429
2014-02-03,1.3846
2014-02-04,-0.1517
2014-02-05,1.8237
2014-02-06,2.8358
2014-02-07,1.8868
2014-02-10,2.7066
2014-02-11,4.7157
2014-02-12,-5.298
2014-02-13,0.2797
2014-02-14,-3.9052
2014-02-18,0.8708
2014-02-19,2.1583
2014-02-20,4.2254
2014-02-21,0.0
2014-02-24,11.2162
2014-02-25,-5.5893
2014-02-26,2.574
2014-02-27,0.3764
2014-02-28,-0.25
2014-03-03,2.5063
2014-03-04,13.3252
2014-03-05,3.9914
2014-03-06,-4.0456
2014-03-07,-1.1892
2014-03-10,0.2188
2014-03-11,1.4192
2014-03-12,0.0
2014-03-13,-0.1076
2014-03-14,-2.2629
2014-03-17,-6.8357
2014-03-18,3.0769
2014-03-19,-3.3295
2014-03-20,-0.4751
2014-03-21,-6.5632
2014-03-24,-7.4074
2014-03-25,-3.7241
2014-03-26,2.0057
2014-03-27,-6.0393
2014-03-28,11.3602
2014-03-31,5.5034
2014-04-01,-3.6896
2014-04-02,0.7926
2014-04-03,-4.9803
2014-04-04,-4.2759
2014-04-07,-7.6369
2014-04-08,-3.5881
2014-04-09,-2.2654
2014-04-10,-3.9735
2014-04-11,-1.5516999999999999
2014-04-14,-6.1296
2014-04-15,-7.2761
2014-04-16,2.6157
2014-04-17,5.6863
2014-04-21,6.8646
2014-04-22,1.5625
2014-04-23,-4.9573
2014-04-24,-1.259
2014-04-25,-6.0109
2014-04-28,-4.2636
2014-04-29,0.0
2014-04-30,1.417
2014-05-01,-1.7964
2014-05-02,0.4065
2014-05-05,0.0
2014-05-06,0.4049
2014-05-07,-1.6129
2014-05-08,-2.6639
2014-05-09,-0.6316
2014-05-12,-1.0593
2014-05-13,2.5696
2014-05-14,-0.2088
2014-05-15,0.4184
2014-05-16,-7.0833
2014-05-19,-2.2422
2014-05-20,1.1468
2014-05-21,-0.907
2014-05-22,2.0595
2014-05-23,0.0
2014-05-27,2.6906
2014-05-28,-0.655
2014-05-29,-0.4396
2014-05-30,-3.0905
2014-06-02,-1.139
2014-06-03,3.2258
2014-06-04,-1.7856999999999998
2014-06-05,-0.2273
2014-06-06,1.139
2014-06-09,0.4505
2014-06-10,-1.5695000000000001
2014-06-11,8.8838
2014-06-12,-2.7197
2014-06-13,-2.7957
2014-06-16,-4.0929
2014-06-17,-3.1142
2014-06-18,-1.1905000000000001
2014-06-19,-0.9639
2014-06-20,5.5961
