ticker,MVAC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,8.6957
2000-01-04,0.0
2000-01-05,4.0
2000-01-06,1.9231
2000-01-07,1.8868
2000-01-10,7.4074
2000-01-11,5.1724
2000-01-12,1.6393
2000-01-13,-3.2258
2000-01-14,0.0
2000-01-18,20.0
2000-01-19,0.0
2000-01-20,-5.5556
2000-01-21,0.0
2000-01-24,0.0
2000-01-25,2.9412000000000003
2000-01-26,1.4285999999999999
2000-01-27,4.2254
2000-01-28,0.0
2000-01-31,0.0
2000-02-01,-2.7027
2000-02-02,-8.3333
2000-02-03,-3.0303
2000-02-04,-6.25
2000-02-07,-1.6667
2000-02-08,-1.6949
2000-02-09,0.8621
2000-02-10,0.0
2000-02-11,0.0
2000-02-14,-2.5641
2000-02-15,1.7544
2000-02-16,6.8966
2000-02-17,-3.2258
2000-02-18,-3.3333
2000-02-22,5.1724
2000-02-23,1.6393
2000-02-24,-8.871
2000-02-25,-0.885
2000-02-28,5.3571
2000-02-29,-1.6949
2000-03-01,3.4483
2000-03-02,5.0
2000-03-03,-4.7619
2000-03-06,18.3333
2000-03-07,2.8169
2000-03-08,-6.8493
2000-03-09,-8.8235
2000-03-10,-4.8387
2000-03-13,-5.0847
2000-03-14,-7.1429
2000-03-15,11.538499999999999
2000-03-16,-3.4483
2000-03-17,-5.3571
2000-03-20,5.6604
2000-03-21,-3.5714
2000-03-23,-1.8519
2000-03-24,1.8868
2000-03-28,9.2593
2000-03-29,-4.661
2000-03-30,-7.5556
2000-03-31,-7.6923
2000-04-03,8.3333
2000-04-04,-7.6923
2000-04-05,8.3333
2000-04-06,-7.6923
2000-04-07,8.3333
2000-04-10,0.0
2000-04-12,-3.8462
2000-04-13,4.0
2000-04-14,-30.7692
2000-04-17,11.1111
2000-04-18,0.0
2000-04-19,0.0
2000-04-20,7.5
2000-04-24,-6.9767
2000-04-26,-10.0
2000-04-27,2.7778
2000-04-28,5.4054
2000-05-01,3.8462
2000-05-02,-5.5556
2000-05-03,4.5752
2000-05-04,0.0
2000-05-05,5.0
2000-05-08,-4.7619
2000-05-09,-2.5
2000-05-10,-2.5641
2000-05-11,13.1579
2000-05-15,-11.6279
2000-05-16,0.0
2000-05-17,0.0
2000-05-18,0.0
2000-05-22,2.6316
2000-05-23,-7.6923
2000-05-24,-1.3889
2000-05-25,9.8592
2000-05-26,-7.6923
2000-05-30,8.3333
2000-05-31,-7.6923
2000-06-02,-13.8889
2000-06-05,16.129
2000-06-07,-2.7778
