ticker,PDFS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2001-07-27,26.25
2001-07-30,-1.7162
2001-07-31,6.313
2001-08-01,4.9905
2001-08-02,-4.633
2001-08-03,-4.6688
2001-08-06,-0.3309
2001-08-07,-0.7304
2001-08-08,0.6689
2001-08-09,-0.6645
2001-08-10,-5.0167
2001-08-13,2.8872999999999998
2001-08-14,10.5407
2001-08-15,-4.9536
2001-08-16,-5.2117
2001-08-17,-2.8179
2001-08-20,-1.3437000000000001
2001-08-21,2.509
2001-08-22,-0.2098
2001-08-23,2.1724
2001-08-24,-3.6351
2001-08-27,2.4911
2001-08-28,-2.7778
2001-08-29,1.7856999999999998
2001-08-30,0.3509
2001-08-31,0.6993
2001-09-04,-1.7187999999999999
2001-09-05,0.7596
2001-09-06,-1.1219999999999999
2001-09-07,-0.8511
2001-09-10,2.6466
2001-09-17,-4.1812
2001-09-18,-7.2727
2001-09-19,-13.0196
2001-09-20,5.1398
2001-09-21,-9.9485
2001-09-24,1.5238
2001-09-25,0.8443
2001-09-26,0.4651
2001-09-27,-8.3333
2001-09-28,3.5354
2001-10-01,-2.439
2001-10-02,3.0
2001-10-03,9.0291
2001-10-04,10.0623
2001-10-05,13.2686
2001-10-08,0.0
2001-10-09,5.0
2001-10-10,2.7891
2001-10-11,1.9193
2001-10-12,-2.5974
2001-10-15,-0.5333
2001-10-16,1.8767
2001-10-17,8.223700000000001
2001-10-18,3.7082
2001-10-19,7.5615
2001-10-22,1.0899
2001-10-23,-0.8086
2001-10-24,-7.6087
2001-10-25,-3.8235
2001-10-26,0.367
2001-10-29,2.011
2001-10-30,-0.5376
2001-10-31,0.0
2001-11-01,-3.9039
2001-11-02,-1.875
2001-11-05,-4.1401
2001-11-06,4.3189
2001-11-07,0.0
2001-11-08,-4.7771
2001-11-09,4.3478
2001-11-12,0.0
2001-11-13,1.2821
2001-11-14,0.0
2001-11-15,1.2658
2001-11-16,0.625
2001-11-19,3.1056
2001-11-20,-0.6024
2001-11-21,2.7273
2001-11-23,-1.1799
2001-11-26,-0.8955
2001-11-27,-3.3133
2001-11-28,-0.8723
2001-11-29,1.4456
2001-11-30,-1.487
2001-12-03,-1.7610000000000001
2001-12-04,-0.128
2001-12-05,4.359
2001-12-06,-1.3514
2001-12-07,12.0797
2001-12-10,1.6667
2001-12-11,4.3716
2001-12-12,3.9267
2001-12-13,3.7782999999999998
2001-12-14,-5.0
2001-12-17,-2.7082
2001-12-18,0.8403
2001-12-19,6.7708
