ticker,HMGP US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2005-08-05,110.5263
2005-08-09,0.0
2005-08-11,0.0
2005-08-15,0.0
2005-08-29,10.0
2005-09-19,354.5455
2005-10-04,0.0
2005-12-08,-60.0
2005-12-09,0.0
2005-12-12,-75.0
2006-01-12,300.0
2006-01-18,0.0
2006-01-19,-75.0
2006-01-20,0.0
2006-01-23,0.0
2006-01-24,300.0
2006-01-26,400.0
2006-01-30,-50.0
2006-01-31,0.0
2006-02-01,0.0
2006-02-02,0.0
2006-02-03,20.0
2006-02-06,-16.6667
2006-02-07,0.0
2006-02-08,0.0
2006-02-09,0.0
2006-02-10,-60.0
2006-02-13,50.0
2006-02-14,33.3333
2006-02-15,-25.0
2006-02-16,50.0
2006-02-17,122.2222
2006-02-22,20.0
2006-02-23,-0.8333
2006-02-24,26.0504
2006-03-03,33.3333
2006-03-15,-10.0
2006-03-21,-44.4444
2006-03-22,-30.0
2006-03-23,0.0
2006-03-24,-14.2857
2006-03-27,0.0
2006-03-28,0.0
2006-03-30,0.0
2006-03-31,0.0
2006-04-04,0.0
2006-04-05,16.6667
2006-04-06,0.0
2006-04-07,-28.5714
2006-04-10,0.0
2006-04-11,0.0
2006-04-12,10.0
2006-04-13,36.3636
2006-04-17,0.0
2006-04-18,0.0
2006-04-19,0.0
2006-04-20,0.0
2006-04-21,0.0
2006-04-24,0.0
2006-04-25,0.0
2006-04-26,0.0
2006-04-27,0.0
2006-04-28,20.0
2006-05-01,-14.4444
2006-05-02,16.8831
2006-05-03,-33.3333
2006-05-04,8.3333
2006-05-05,-7.6923
2006-05-08,8.3333
2006-05-09,1.5385
2006-05-10,43.9394
2006-05-11,0.0
2006-05-12,57.8947
2006-05-15,10.0
2006-05-16,21.2121
2006-05-17,0.0
2006-05-18,15.0
2006-05-19,8.6957
2006-05-22,4.0
2006-05-23,-3.8462
2006-05-24,12.0
2006-05-25,-17.8571
2006-05-26,43.4783
2006-05-30,-6.0606
2006-05-31,12.9032
2006-06-02,0.0
2006-06-05,-14.2857
2006-06-06,0.0
2006-06-07,0.0
2006-06-09,0.0
2006-06-12,-26.6667
2006-06-13,18.1818
2006-06-14,53.8462
2006-06-15,-15.0
2006-06-16,-5.8824
2006-06-19,0.0
2006-06-20,-21.875
2006-06-22,36.0
2006-06-23,-41.1765
2006-06-26,35.0
2006-06-27,-25.9259
2006-06-28,25.0
2006-06-29,-36.0
2006-06-30,25.0
2006-07-03,-30.0
2006-07-05,-28.5714
