ticker,MDGL US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2007-02-06,-9.1
2007-02-07,6.1606
2007-02-08,1.9689
2007-02-09,0.1016
2007-02-12,-2.5381
2007-02-13,-2.1875
2007-02-14,-1.278
2007-02-15,2.4703
2007-02-16,-2.5161
2007-02-20,-1.7279
2007-02-21,-0.4396
2007-02-22,0.883
2007-02-23,-3.7199
2007-02-26,-0.5682
2007-02-27,-2.7429
2007-02-28,0.235
2007-03-01,-2.1102
2007-03-02,-0.9581
2007-03-05,-0.8464
2007-03-06,6.7073
2007-03-07,-0.1257
2007-03-08,-0.5607
2007-03-09,1.496
2007-03-12,1.9274
2007-03-13,-2.1135
2007-03-14,2.2727
2007-03-15,-0.5556
2007-03-16,2.2346
2007-03-19,1.6503
2007-03-20,-0.8709
2007-03-21,-2.6029999999999998
2007-03-22,-0.5568
2007-03-23,0.0
2007-03-26,-4.7032
2007-03-27,1.5276
2007-03-28,-1.2731
2007-03-29,1.7585
2007-03-30,-7.0276
2007-04-02,3.7175000000000002
2007-04-03,-1.9116
2007-04-04,2.0705999999999998
2007-04-05,1.5513
2007-04-09,-1.0576
2007-04-10,-5.1068999999999996
2007-04-11,2.7534
2007-04-12,1.827
2007-04-13,0.5981
2007-04-16,2.2592
2007-04-17,0.3488
2007-04-18,2.3175
2007-04-19,-2.6048
2007-04-20,2.2093
2007-04-23,-0.7964
2007-04-24,0.344
2007-04-25,-0.2286
2007-04-26,0.1145
2007-04-27,0.2288
2007-04-30,-6.9635
2007-05-01,0.8589
2007-05-02,4.2579
2007-05-03,-0.8168
2007-05-04,-0.4706
2007-05-07,1.4184
2007-05-08,0.9324
2007-05-09,0.0
2007-05-10,-3.0023
2007-05-11,1.1905000000000001
2007-05-14,-4.4706
2007-05-15,-0.8621
2007-05-16,-0.3727
2007-05-17,0.2494
2007-05-18,1.4925
2007-05-21,-0.1225
2007-05-22,0.0
2007-05-23,2.454
2007-05-24,-1.5569
2007-05-25,0.8516
2007-05-29,2.1713
2007-05-30,2.8335
2007-05-31,5.0517
2007-06-01,6.0109
2007-06-04,4.6392
2007-06-05,-11.7241
2007-06-06,-5.3571
2007-06-07,-1.4151
2007-06-08,-0.8373
2007-06-11,4.5838
2007-06-12,-3.9215999999999998
2007-06-13,-0.8403
2007-06-14,-1.2107
2007-06-15,-0.6127
2007-06-18,-0.2466
2007-06-19,2.4722
2007-06-20,-1.8094000000000001
2007-06-21,0.0
2007-06-22,3.9312
2007-06-25,0.4728
