ticker,RMBL US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2017-01-09,1328.5714
2017-01-10,0.0
2017-01-26,7.1429
2017-02-02,13.3333
2017-02-28,-3.5294
2017-03-09,-4.878
2017-03-10,-12.8205
2017-03-14,17.647100000000002
2017-03-15,0.0
2017-03-16,25.0
2017-03-21,-5.0
2017-03-30,-26.3158
2017-03-31,0.0
2017-04-03,0.0
2017-04-04,0.0
2017-04-05,0.0
2017-04-13,14.2857
2017-04-18,-12.5
2017-04-19,0.0
2017-04-21,0.0
2017-04-24,-2.8571
2017-05-03,47.0588
2017-05-11,0.0
2017-05-16,15.0
2017-05-23,9.1304
2017-05-30,4.3825
2017-06-01,6.8702
2017-06-06,0.0
2017-06-07,-7.1429
2017-06-19,7.6923
2017-06-26,-7.1429
2017-06-27,0.0
2017-07-14,0.0
2017-07-18,7.6923
2017-07-28,0.0
2017-07-31,0.0
2017-08-03,-1.4285999999999999
2017-08-10,1.4493
2017-08-24,3.5714
2017-09-12,3.3103
2017-09-13,6.8091
2017-09-14,0.0
2017-09-15,6.25
2017-09-18,5.8824
2017-09-19,1.1111
2017-09-21,4.3956
2017-09-25,0.0
2017-09-26,-0.1053
2017-09-29,-5.1633
2017-10-02,10.5556
2017-10-05,-6.5327
2017-10-09,0.0
2017-10-12,0.0
2017-10-13,2.1505
2017-10-16,-2.1063
2017-10-17,-3.2248
2017-10-18,3.3333
2017-10-19,-45.2688
2017-10-20,1.1788
2017-10-23,-10.4854
2017-10-24,-2.3861
2017-10-25,4.8889
2017-10-26,-4.4492
2017-10-27,0.2217
2017-10-30,-2.2124
2017-10-31,3.1673999999999998
2017-11-01,7.2368
2017-11-02,0.3067
2017-11-03,0.3058
2017-11-06,4.2683
2017-11-07,2.924
2017-11-08,0.3788
2017-11-09,-2.2641999999999998
2017-11-10,-2.5097
2017-11-13,-0.198
2017-11-14,0.1984
2017-11-15,0.5941
2017-11-16,-0.1969
2017-11-17,6.5089
2017-11-20,0.0
2017-11-21,1.4815
2017-11-22,-1.0803
2017-11-24,-0.1992
2017-11-27,1.6636
2017-11-28,-1.4545
2017-11-29,0.369
2017-11-30,1.1029
2017-12-01,0.0
2017-12-04,-1.0909
2017-12-05,-0.7353
2017-12-06,-0.7407
2017-12-07,2.2388
2017-12-08,-0.5474
2017-12-11,-1.8349
2017-12-12,0.5607
2017-12-13,-0.3717
2017-12-14,-1.1194
2017-12-15,-2.8302
2017-12-18,3.1068
2017-12-19,-4.8964
2017-12-20,3.7624
