ticker,ONCT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2004-02-03,-11.0345
2004-02-04,-3.5659
2004-02-05,1.6077
2004-02-06,0.4747
2004-02-09,0.5512
2004-02-10,-1.3312
2004-02-11,-1.9841
2004-02-12,-1.6194
2004-02-13,-1.6461000000000001
2004-02-17,-1.431
2004-02-18,-1.5197
2004-02-19,-6.8966
2004-02-20,1.8519
2004-02-23,-0.5455
2004-02-24,-1.1792
2004-02-25,6.1881
2004-02-26,3.3971999999999998
2004-02-27,-1.2637
2004-03-01,-3.5836
2004-03-02,5.0354
2004-03-03,-4.2885
2004-03-04,-0.713
2004-03-05,-1.1437
2004-03-08,2.2422
2004-03-09,2.9825
2004-03-10,-5.5366
2004-03-11,3.2462
2004-03-12,-0.4367
2004-03-15,-3.5965
2004-03-16,-9.0082
2004-03-17,3.9
2004-03-18,0.6737
2004-03-19,0.478
2004-03-22,-2.4833
2004-03-23,-0.4781
2004-03-24,0.4902
2004-03-25,-0.7805
2004-03-26,-2.0649
2004-03-29,-2.9116
2004-03-30,5.9979
2004-03-31,1.4634
2004-04-01,1.4423
2004-04-02,2.4645
2004-04-05,0.9251
2004-04-06,-2.3830999999999998
2004-04-07,0.0
2004-04-08,2.9108
2004-04-12,0.8212
2004-04-13,0.8145
2004-04-14,-0.8977
2004-04-15,-0.6341
2004-04-16,2.2789
2004-04-19,2.3173
2004-04-20,-3.8327999999999998
2004-04-21,5.5254
2004-04-22,8.0687
2004-04-23,3.0977
2004-04-26,3.8521
2004-04-27,-0.7418
2004-04-28,3.8117
2004-04-29,-1.0079
2004-04-30,-1.8182
2004-05-03,4.7407
2004-05-04,-1.4851
2004-05-05,-6.3173
2004-05-06,0.6897
2004-05-07,3.3486000000000002
2004-05-10,-5.2283
2004-05-11,3.6519
2004-05-12,-3.4483
2004-05-13,-3.2609
2004-05-14,2.809
2004-05-17,-0.6245
2004-05-18,0.5499
2004-05-19,1.0937000000000001
2004-05-20,-6.3369
2004-05-21,5.6106
2004-05-24,0.3125
2004-05-25,-4.1277
2004-05-26,4.7116
2004-05-27,-6.0512
2004-05-28,1.7341
2004-06-01,4.7078
2004-06-02,2.093
2004-06-03,-3.8724
2004-06-04,-8.8468
2004-06-07,3.9861
2004-06-08,-2.5
2004-06-09,-1.453
2004-06-10,-0.2602
2004-06-14,0.6087
2004-06-15,0.605
2004-06-16,3.5223
2004-06-17,-0.332
2004-06-18,1.8317999999999999
2004-06-21,0.5724
2004-06-22,-0.813
2004-06-23,0.082
