ticker,NTUS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2001-07-20,31.3636
2001-07-23,7.2664
2001-07-24,-4.8387
2001-07-25,-4.0678
2001-07-26,-1.0601
2001-07-27,1.7856999999999998
2001-07-30,1.7544
2001-07-31,2.7586
2001-08-01,0.6711
2001-08-02,0.8
2001-08-03,0.0
2001-08-06,-1.455
2001-08-07,0.2013
2001-08-08,0.8038
2001-08-09,0.0
2001-08-10,-4.3189
2001-08-13,5.5556
2001-08-14,-2.5658
2001-08-15,-1.418
2001-08-16,1.0274
2001-08-17,0.0
2001-08-20,-1.6271
2001-08-21,-0.8959
2001-08-22,-1.0431
2001-08-23,-0.3514
2001-08-24,0.141
2001-08-27,-0.3521
2001-08-28,2.8269
2001-08-29,-2.1306
2001-08-30,-4.073
2001-08-31,-2.6353999999999997
2001-09-04,-3.0075
2001-09-05,-1.5504
2001-09-06,1.5748
2001-09-07,-2.7132
2001-09-10,0.7968
2001-09-17,0.7905
2001-09-18,1.1764999999999999
2001-09-19,-5.4264
2001-09-20,-29.0984
2001-09-21,-3.4682
2001-09-24,4.7904
2001-09-25,-17.1429
2001-09-26,-2.069
2001-09-27,3.5211
2001-09-28,4.0816
2001-10-01,11.1111
2001-10-02,4.8235
2001-10-03,-55.1066
2001-10-04,0.0
2001-10-05,2.0
2001-10-08,-2.9412000000000003
2001-10-09,1.0101
2001-10-10,8.75
2001-10-11,8.046
2001-10-12,-1.2766
2001-10-15,0.2155
2001-10-16,-1.9355
2001-10-17,-0.2193
2001-10-18,2.1978
2001-10-19,10.7527
2001-10-22,10.4854
2001-10-23,-4.0422
2001-10-24,-0.1832
2001-10-25,-8.2569
2001-10-26,-2.0
2001-10-29,2.2449
2001-10-30,-0.1996
2001-10-31,-0.4
2001-11-01,0.4016
2001-11-02,3.8
2001-11-05,1.7341
2001-11-06,-8.1439
2001-11-07,-17.5258
2001-11-08,1.0
2001-11-09,-0.9901
2001-11-12,0.0
2001-11-13,0.25
2001-11-14,0.2494
2001-11-15,-0.4975
2001-11-16,0.0
2001-11-19,0.5
2001-11-20,-2.4876
2001-11-21,2.0408
2001-11-23,1.5
2001-11-26,-1.2315
2001-11-27,0.9975
2001-11-28,-3.2099
2001-11-29,-0.5102
2001-11-30,0.7692
2001-12-03,1.7812000000000001
2001-12-04,1.5
2001-12-05,15.2709
2001-12-06,-0.641
2001-12-07,-0.6452
2001-12-10,1.0823
2001-12-11,0.8565
2001-12-12,4.8832
2001-12-13,2.834
