ticker,WHG US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2002-06-18,0.0
2002-06-19,0.0
2002-06-20,-4.8615
2002-06-21,-0.3234
2002-06-24,0.584
2002-06-25,1.6129
2002-06-26,-3.1746
2002-06-27,-3.2787
2002-06-28,-5.0847
2002-07-01,-6.4286
2002-07-02,-1.5267
2002-07-03,-2.3256
2002-07-05,-0.0794
2002-07-08,0.0794
2002-07-09,-1.5873
2002-07-10,-5.5645
2002-07-11,-0.0854
2002-07-12,-0.8547
2002-07-15,3.0172
2002-07-16,5.0209
2002-07-17,3.5857
2002-07-18,-0.7692
2002-07-19,11.2403
2002-07-22,-4.5296
2002-07-23,-9.927
2002-07-24,0.8914
2002-07-25,8.0321
2002-07-26,0.0
2002-07-29,-0.8922
2002-07-30,0.4501
2002-07-31,0.1494
2002-08-01,-0.9694
2002-08-02,-2.1084
2002-08-05,3.0769
2002-08-06,0.3731
2002-08-07,2.3792
2002-08-08,6.7538
2002-08-09,4.0816
2002-08-12,10.1307
2002-08-13,-2.0772
2002-08-14,-2.4242
2002-08-15,2.4845
2002-08-16,-3.0303
2002-08-19,-1.5625
2002-08-20,-1.6508
2002-08-21,-1.5493999999999999
2002-08-22,-2.9508
2002-08-23,-1.3514
2002-08-26,-0.6849
2002-08-27,1.3793
2002-08-28,-2.0408
2002-08-29,-1.0417
2002-08-30,1.7544
2002-09-03,-0.6897
2002-09-04,-1.1806
2002-09-05,-1.2649
2002-09-06,2.4911
2002-09-09,1.1111
2002-09-10,0.2747
2002-09-11,1.7123
2002-09-12,0.7407
2002-09-13,-0.5355
2002-09-16,0.6057
2002-09-17,-1.5385
2002-09-18,-1.8342
2002-09-19,-1.3841
2002-09-20,-0.7018
2002-09-23,-1.0601
2002-09-24,0.0714
2002-09-25,-0.0714
2002-09-26,1.0714
2002-09-27,-0.3534
2002-09-30,0.9929
2002-10-01,-1.3343
2002-10-02,-0.427
2002-10-03,0.4289
2002-10-04,-0.3559
2002-10-07,0.3571
2002-10-08,-0.1423
2002-10-09,-1.2117
2002-10-10,0.6494
2002-10-11,-0.3584
2002-10-14,1.7986
2002-10-15,-0.7067
2002-10-16,0.7117
2002-10-17,-0.9894
2002-10-18,-0.7138
2002-10-21,-0.0719
2002-10-22,-0.6475
2002-10-23,-0.7965
2002-10-24,0.7299
2002-10-25,-1.087
2002-10-28,-1.0989
2002-10-29,0.0
2002-10-30,1.1111
2002-10-31,0.3663
2002-11-01,-0.438
2002-11-04,-1.7595
2002-11-05,1.4925
