ticker,DK US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2006-05-04,1.5625
2006-05-05,1.0462
2006-05-08,2.497
2006-05-09,0.713
2006-05-10,2.0059
2006-05-11,2.2556
2006-05-12,0.1697
2006-05-15,-7.4534
2006-05-16,-2.0134
2006-05-17,-2.4284
2006-05-18,-0.4467
2006-05-19,-2.8846
2006-05-22,-0.066
2006-05-23,5.6803
2006-05-24,-1.5625
2006-05-25,-2.6667
2006-05-26,-1.1742
2006-05-30,-0.9901
2006-05-31,-1.3333
2006-06-01,-0.9459
2006-06-02,2.3192
2006-06-05,0.2667
2006-06-06,-4.5878
2006-06-07,0.9756
2006-06-08,-2.2774
2006-06-09,1.3418
2006-06-12,-8.0139
2006-06-13,-6.9697
2006-06-14,1.7101
2006-06-15,5.5244
2006-06-16,4.3247
2006-06-19,-0.7273
2006-06-20,2.5641
2006-06-21,4.2143
2006-06-22,-0.7539
2006-06-23,-1.2431
2006-06-26,0.979
2006-06-27,-0.3463
2006-06-28,3.8916
2006-06-29,4.214
2006-06-30,-2.439
2006-07-03,0.0658
2006-07-05,-0.0657
2006-07-06,-0.5263
2006-07-07,0.3307
2006-07-10,2.9664
2006-07-11,-0.5122
2006-07-12,-0.5792
2006-07-13,-1.4887000000000001
2006-07-14,0.4599
2006-07-17,1.1772
2006-07-18,-1.2282
2006-07-19,1.6360999999999999
2006-07-20,-0.5795
2006-07-21,-1.8782
2006-07-24,1.9802
2006-07-25,2.0065
2006-07-26,0.7614
2006-07-27,0.4408
2006-07-28,0.5016
2006-07-31,1.6843
2006-08-01,0.3681
2006-08-02,0.6112
2006-08-03,-1.0328
2006-08-04,-1.7802
2006-08-07,-0.3125
2006-08-08,-1.0031
2006-08-09,9.6897
2006-08-10,0.9238
2006-08-11,6.4073
2006-08-14,3.7634
2006-08-15,-2.1762
2006-08-16,2.1716
2006-08-17,0.1555
2006-08-18,3.0021
2006-08-21,3.0151
2006-08-22,5.561
2006-08-23,0.647
2006-08-24,-2.1579
2006-08-25,1.4546999999999999
2006-08-28,-5.3654
2006-08-29,-2.5904
2006-08-30,0.6021
2006-08-31,4.2893
2006-09-01,0.9087
2006-09-05,-4.1706
2006-09-06,-5.3412
2006-09-07,-1.7764
2006-09-08,-3.9362
2006-09-11,-9.0255
2006-09-12,1.5825
2006-09-13,5.0929
2006-09-14,-3.0787
2006-09-15,4.4706
2006-09-18,1.0698
2006-09-19,-5.7382
2006-09-20,1.7730000000000001
2006-09-21,-3.5423999999999998
