date,return,prediction
2005-01-03,-0.010369336538461537,0.0017637284448349796
2005-01-04,-0.015275836538461538,0.0020246638416316232
2005-01-05,-0.009711115384615386,0.0016571767517626888
2005-01-06,0.0005250096153846153,0.001928528284235734
2005-01-07,-0.004277519230769231,-0.0001762524547377956
2005-01-10,0.0038715,0.0007343116478370825
2005-01-11,-0.0025703269230769226,0.001080415224193541
2005-01-12,0.002259644230769231,0.001645140194400948
2005-01-13,-0.001973413461538461,0.0003724220139717068
2005-01-14,0.01108423076923077,0.002498342377654248
2005-01-18,0.01022356730769231,0.0014831407062194516
2005-01-19,-0.00918603846153846,0.001750119744186424
2005-01-20,-0.014129259615384615,0.0016834365710957132
2005-01-21,-0.011527548076923078,0.00045351672549669706
2005-01-24,-0.012259028846153845,0.0004378373298193748
2005-01-25,0.004977336538461538,0.0028575444578572296
2005-01-26,0.007870875,0.0005405227641722309
2005-01-27,0.0018316250000000001,0.0013308680437734196
2005-01-28,-0.003745509615384615,-0.0007331531877124307
2005-01-31,0.01388223076923077,0.00015451095028308102
2005-02-01,0.005593115384615385,0.0030750223963724056
2005-02-02,0.005212326923076923,0.00019981091537786522
2005-02-03,0.0006273173076923075,0.0012561845760551546
2005-02-04,0.014379663461538461,0.0007007756164135933
2005-02-07,0.0028177884615384614,-7.640124258709801e-05
2005-02-08,-0.0020227692307692308,0.0021194470711787114
2005-02-09,-0.01600775,0.0024716188058742546
2005-02-10,0.001334528846153846,0.0009969650085627274
2005-02-11,0.0070792115384615386,0.000556254572304165
2005-02-14,-0.001396769230769231,0.0006706421544650939
2005-02-15,0.006615519230769231,0.002194744408965504
2005-02-16,-0.0035256250000000005,0.00183295874286792
2005-02-17,-0.005184355769230769,0.0009116849778001764
2005-02-18,-0.0029686346153846147,3.982578281207824e-05
2005-02-22,-0.02049131730769231,0.0022701848632247215
2005-02-23,0.006520326923076922,0.0010020629628910995
2005-02-24,0.008494461538461538,0.0015501965130799368
2005-02-25,0.00904656730769231,0.0013421003242069238
2005-02-28,-0.004929163461538461,0.0007724617799404422
2005-03-01,0.014616125,0.001488878153340554
2005-03-02,-0.0022704903846153847,0.001524874973515394
2005-03-03,0.0008108653846153846,0.0021694150874268336
2005-03-04,0.007811375000000001,0.00035699494925953796
2005-03-07,0.005595317307692307,0.000506670269088837
2005-03-08,-0.008187298076923076,0.0016933550125038245
2005-03-09,-0.00977241346153846,0.0010496263893971626
2005-03-10,-0.0003284711538461542,0.002612711437392201
2005-03-11,0.003569682692307692,0.0013008906206472888
2005-03-14,0.004017067307692308,-0.000629254511911937
2005-03-15,-0.0016417788461538462,0.0023291151154264467
2005-03-16,-0.013034519230769228,0.0026933846599139152
2005-03-17,-0.0021401153846153844,0.0009685110624323713
2005-03-18,-0.0058094615384615385,8.288795806233055e-05
2005-03-21,-0.002036951923076923,0.0013845434547991972
2005-03-22,-0.003955778846153846,0.0024166172767020743
2005-03-23,-0.004558884615384615,0.0021550107910478936
2005-03-24,0.004293692307692307,0.001954716650004607
2005-03-28,0.003668980582524271,0.0012824852035233027
2005-03-29,-0.009749980582524272,0.0030569598313716813
2005-03-30,0.01416095145631068,0.0013497265244008568
2005-03-31,0.002435145631067961,0.002027981138794832
2005-04-01,-0.010124601941747573,-0.0006542097296428067
2005-04-04,0.0029366601941747572,0.0006723457847446321
2005-04-05,0.00774083495145631,0.0014799130157374597
2005-04-06,8.368932038834974e-05,0.0007748849350354215
2005-04-07,0.003205883495145631,0.0029699010289494085
2005-04-08,-0.010964708737864077,0.0007998706930616885
2005-04-11,-0.003838572815533981,0.004504987299185046
2005-04-12,0.006034436893203884,-0.0003914053787718761
2005-04-13,-0.012362582524271843,0.002553272596571129
2005-04-14,-0.01932332038834951,0.0029876226468928103
2005-04-15,-0.02306655339805825,-0.0011167983727847757
2005-04-18,0.006180126213592233,0.00011975614480313264
2005-04-19,0.006746456310679612,0.0013203633783600308
2005-04-20,-0.019096475728155336,0.0002254345011795402
2005-04-21,0.022219,-0.002232273815644212
2005-04-22,-0.020304466019417475,-0.0006888506500445917
2005-04-25,0.01157073786407767,-0.004093912380710749
2005-04-26,-0.005118019417475729,0.0029342226959317335
2005-04-27,-0.00036134951456310655,-7.597021520712238e-05
2005-04-28,-0.01503761165048544,-0.0010302418944843138
2005-04-29,0.0004447087378640777,3.467202167095531e-05
2005-05-02,0.006897262135922329,-0.001985286728846529
2005-05-03,0.0031319708737864082,0.0027710408493568294
2005-05-04,0.019672922330097087,0.0007294694780739419
2005-05-05,-0.0026639611650485433,0.001254022549264483
2005-05-06,-0.000782747572815534,0.000344512698064408
2005-05-09,0.008183864077669904,0.00198919858865064
2005-05-10,-0.011902485436893205,0.002306008126469303
2005-05-11,0.002903281553398059,0.001979964882933411
2005-05-12,-0.01388168932038835,0.00045610092729478694
2005-05-13,-0.0041883883495145635,0.0010548842202904747
2005-05-16,0.017760728155339803,-0.0004171084979511779
2005-05-17,0.010232757281553399,0.003602096054958989
2005-05-18,0.028252038834951455,0.0013916054069828539
2005-05-19,0.011896281553398058,0.0015334240944025008
2005-05-20,0.00415857281553398,0.0004681723330032052
2005-05-23,0.006085796116504855,0.0007740452272946474
2005-05-24,-0.004414766990291262,0.002328229513646732
2005-05-25,-0.0033019223300970874,0.0014113668900364766
2005-05-26,0.010172854368932038,0.0001418699371937437
2005-05-27,0.0019124951456310681,0.0008229903177255507
2005-05-31,-0.001854699029126213,0.001534255470692157
2005-06-01,0.00832468932038835,0.00266364173834493
2005-06-02,0.013131233009708738,0.0013559156745016144
