ticker,field,value,exchange
0111145D UN Equity,INDUSTRY_SECTOR,Utilities,UN
0202445Q UN Equity,INDUSTRY_SECTOR,"Consumer, Non-cyclical",UN
0203524D UN Equity,INDUSTRY_SECTOR,Technology,UN
0226226D UN Equity,INDUSTRY_SECTOR,"Consumer, Cyclical",UN
0544749D UN Equity,INDUSTRY_SECTOR,Energy,UN
0574018D UN Equity,INDUSTRY_SECTOR,Financial,UN
0772031D UN Equity,INDUSTRY_SECTOR,Communications,UN
0848680D UN Equity,INDUSTRY_SECTOR,Communications,UN
0867887D UN Equity,INDUSTRY_SECTOR,Communications,UN
0867887D US Equity,INDUSTRY_SECTOR,Communications,US
0910150D US Equity,INDUSTRY_SECTOR,"Consumer, Cyclical",US
0948669D UN Equity,INDUSTRY_SECTOR,"Consumer, Cyclical",UN
0961514D UN Equity,INDUSTRY_SECTOR,Utilities,UN
0964591D UQ Equity,INDUSTRY_SECTOR,"Consumer, Non-cyclical",UQ
0964591D UW Equity,INDUSTRY_SECTOR,"Consumer, Non-cyclical",UW
1028411Q UN Equity,INDUSTRY_SECTOR,"Consumer, Non-cyclical",UN
1086832D UN Equity,INDUSTRY_SECTOR,Energy,UN
1255173D UN Equity,INDUSTRY_SECTOR,Financial,UN
1255459D UW Equity,INDUSTRY_SECTOR,"Consumer, Non-cyclical",UW
1280712D UQ Equity,INDUSTRY_SECTOR,Technology,UQ
1280712D UW Equity,INDUSTRY_SECTOR,Technology,UW
1281683D UN Equity,INDUSTRY_SECTOR,"Consumer, Non-cyclical",UN
1284849D UN Equity,INDUSTRY_SECTOR,"Consumer, Non-cyclical",UN
1288453D UW Equity,INDUSTRY_SECTOR,"Consumer, Non-cyclical",UW
1288652D US Equity,INDUSTRY_SECTOR,Financial,US
1293405D UN Equity,INDUSTRY_SECTOR,Communications,UN
1312089D UN Equity,INDUSTRY_SECTOR,"Consumer, Non-cyclical",UN
1317355D UN Equity,INDUSTRY_SECTOR,Technology,UN
1431816D UN Equity,INDUSTRY_SECTOR,Technology,UN
1431816D UW Equity,INDUSTRY_SECTOR,Technology,UW
1436513D UN Equity,INDUSTRY_SECTOR,Industrial,UN
1437355D US Equity,INDUSTRY_SECTOR,Technology,US
1448062D UN Equity,INDUSTRY_SECTOR,Communications,UN
1448062D UQ Equity,INDUSTRY_SECTOR,Communications,UQ
1448062D UW Equity,INDUSTRY_SECTOR,Communications,UW
1500785D UN Equity,INDUSTRY_SECTOR,Utilities,UN
1518855D US Equity,INDUSTRY_SECTOR,Communications,US
1519128D UA Equity,INDUSTRY_SECTOR,Technology,UA
1519128D UQ Equity,INDUSTRY_SECTOR,Technology,UQ
1519128D UW Equity,INDUSTRY_SECTOR,Technology,UW
1520415D UN Equity,INDUSTRY_SECTOR,Financial,UN
1524867D UN Equity,INDUSTRY_SECTOR,Energy,UN
1528159D UN Equity,INDUSTRY_SECTOR,"Consumer, Cyclical",UN
1539941D UN Equity,INDUSTRY_SECTOR,Energy,UN
1541931D UA Equity,INDUSTRY_SECTOR,Technology,UA
