ticker,HAS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-2.6403
2000-01-04,-6.4407
2000-01-05,-4.7101
2000-01-06,-2.6616
2000-01-07,3.5156
2000-01-10,4.5283
2000-01-11,-2.5271
2000-01-12,1.4815
2000-01-13,-0.7299
2000-01-14,-2.9412000000000003
2000-01-18,-0.7576
2000-01-19,-2.2901
2000-01-20,-3.125
2000-01-21,0.0
2000-01-24,2.0161
2000-01-25,-2.7668
2000-01-26,2.0325
2000-01-27,-1.1952
2000-01-28,0.3871
2000-01-31,-3.2258
2000-02-01,1.6667
2000-02-02,2.8689
2000-02-03,4.7809
2000-02-04,-3.4221
2000-02-07,1.1811
2000-02-08,1.1673
2000-02-09,-3.0769
2000-02-10,-4.7619
2000-02-11,0.4167
2000-02-14,4.9793
2000-02-15,0.3953
2000-02-16,-0.3937
2000-02-17,-1.9763
2000-02-18,-0.8065
2000-02-22,0.813
2000-02-23,-2.8226
2000-02-24,-3.7344
2000-02-25,10.3448
2000-02-28,-1.5625
2000-02-29,0.0
2000-03-01,-2.3810000000000002
2000-03-02,-0.813
2000-03-03,2.459
2000-03-06,-2.0
2000-03-07,-5.3061
2000-03-08,-2.5862
2000-03-09,3.5398
2000-03-10,-1.7094
2000-03-13,0.8696
2000-03-14,0.431
2000-03-15,3.0043
2000-03-16,3.3333
2000-03-17,1.2097
2000-03-20,1.5936
2000-03-21,1.1764999999999999
2000-03-22,0.0
2000-03-23,1.5504
2000-03-24,1.145
2000-03-27,1.8868
2000-03-28,0.7407
2000-03-29,-5.8824
2000-03-30,4.2969
2000-03-31,0.0
2000-04-03,-0.3745
2000-04-04,0.0
2000-04-05,1.5038
2000-04-06,2.963
2000-04-07,-2.518
2000-04-10,3.321
2000-04-11,0.0
2000-04-12,-5.0
2000-04-13,1.8797000000000001
2000-04-14,-8.4871
2000-04-17,2.0161
2000-04-18,1.1858
2000-04-19,0.7813
2000-04-20,-3.1008
2000-04-24,0.8
2000-04-25,1.9841
2000-04-26,1.1673
2000-04-27,0.7538
2000-04-28,-2.2989
2000-05-01,0.3922
2000-05-02,-1.9531
2000-05-03,-0.7968
2000-05-04,-1.2048
2000-05-05,1.626
2000-05-08,0.4
2000-05-09,1.992
2000-05-10,-0.3906
2000-05-11,2.7451
2000-05-12,2.6718
2000-05-15,3.3457
2000-05-16,1.4388
2000-05-17,-1.0638
2000-05-18,3.9427
2000-05-19,-5.5172
2000-05-22,-1.0949
2000-05-23,1.845
2000-05-24,-1.087
