ticker,ROH US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-0.768
2000-01-04,-1.7027999999999999
2000-01-05,6.1417
2000-01-06,3.7092
2000-01-07,7.2961
2000-01-10,-4.4
2000-01-11,-2.0921
2000-01-12,0.0
2000-01-13,0.9972
2000-01-14,1.4104
2000-01-18,-3.338
2000-01-19,-2.0144
2000-01-20,-3.3774
2000-01-21,1.9757
2000-01-24,-0.8942
2000-01-25,-3.7594
2000-01-26,8.2813
2000-01-27,2.3088
2000-01-28,-4.5134
2000-01-31,-0.1477
2000-02-01,2.5148
2000-02-02,-2.4531
2000-02-03,2.2189
2000-02-04,-1.8813
2000-02-07,-4.1298
2000-02-08,-1.2308
2000-02-09,-3.8941
2000-02-10,0.8104
2000-02-11,-3.2154
2000-02-14,3.9867
2000-02-15,6.23
2000-02-16,-1.7985
2000-02-17,-0.9231
2000-02-18,-4.1925
2000-02-22,7.7796
2000-02-23,0.4511
2000-02-24,-2.6946
2000-02-25,-4.9231
2000-02-28,2.589
2000-02-29,1.5773000000000001
2000-03-01,-6.8323
2000-03-02,-3.8333
2000-03-03,5.8925
2000-03-06,-3.2733
2000-03-07,-6.7682
2000-03-08,1.8149
2000-03-09,0.713
2000-03-10,0.708
2000-03-13,1.7574999999999998
2000-03-14,3.1088
2000-03-15,10.3853
2000-03-16,2.8832
2000-03-17,-1.7699
2000-03-20,-0.9009
2000-03-21,1.3636
2000-03-22,-2.0927
2000-03-23,0.1527
2000-03-24,-1.5244
2000-03-27,0.0
2000-03-28,0.4644
2000-03-29,2.0031
2000-03-30,4.6828
2000-03-31,3.0303
2000-04-03,-3.6414999999999997
2000-04-04,2.4709
2000-04-05,0.8511
2000-04-06,0.7032
2000-04-07,0.0
2000-04-10,0.5587
2000-04-11,2.9167
2000-04-12,3.3738
2000-04-13,-3.7859
2000-04-14,-6.1058
2000-04-17,-0.7225
2000-04-18,-0.2911
2000-04-19,-16.4964
2000-04-20,-1.049
2000-04-24,-0.7067
2000-04-25,0.3559
2000-04-26,-2.305
2000-04-27,-3.0853
2000-04-28,6.7416
2000-05-01,-0.8772
2000-05-02,9.2035
2000-05-03,-5.5105
2000-05-04,2.4013999999999998
2000-05-05,1.34
2000-05-08,-1.4876
2000-05-09,1.1745
2000-05-10,-3.8076
2000-05-11,3.8128
2000-05-12,3.8397
2000-05-15,3.0547
2000-05-16,-2.9641
2000-05-17,-1.2862
2000-05-18,-0.4886
2000-05-19,-2.2913
2000-05-22,-1.5074999999999998
