ticker,IKN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,0.9174
2000-01-04,-0.9091
2000-01-05,-3.6696999999999997
2000-01-06,7.619
2000-01-07,-7.0796
2000-01-10,0.0
2000-01-11,-1.9048
2000-01-12,1.9417
2000-01-13,-0.9524
2000-01-14,0.0
2000-01-18,3.8462
2000-01-19,4.6296
2000-01-20,9.7345
2000-01-21,17.7419
2000-01-24,-8.9041
2000-01-25,2.2556
2000-01-26,-1.4706000000000001
2000-01-27,-5.9701
2000-01-28,3.1746
2000-01-31,-0.7692
2000-02-01,2.3256
2000-02-02,-1.5152
2000-02-03,1.5385
2000-02-04,-3.7879
2000-02-07,0.0
2000-02-08,0.0
2000-02-09,-3.1496
2000-02-10,-1.626
2000-02-11,-8.2645
2000-02-14,6.3063
2000-02-15,-0.8475
2000-02-16,-0.8547
2000-02-17,-2.8966
2000-02-18,-1.7856999999999998
2000-02-22,-9.0909
2000-02-23,1.0
2000-02-24,16.8317
2000-02-25,-11.8644
2000-02-28,7.6923
2000-02-29,0.0
2000-03-01,-3.5714
2000-03-02,3.7037
2000-03-03,0.8929
2000-03-06,-5.3097
2000-03-07,-1.8692
2000-03-08,-3.8095
2000-03-09,6.9307
2000-03-10,-3.7037
2000-03-13,-1.9231
2000-03-14,-6.8627
2000-03-15,-3.1579
2000-03-16,5.4348
2000-03-17,1.0309
2000-03-20,0.0
2000-03-21,0.0
2000-03-22,1.0204
2000-03-23,3.0303
2000-03-24,-3.9215999999999998
2000-03-27,1.0204
2000-03-28,-1.0101
2000-03-29,0.0
2000-03-30,1.0204
2000-03-31,0.0
2000-04-03,-1.0101
2000-04-04,8.1633
2000-04-05,-3.7736
2000-04-06,3.9215999999999998
2000-04-07,-0.9434
2000-04-10,0.9524
2000-04-11,-0.9434
2000-04-12,-8.5714
2000-04-13,4.1667
2000-04-14,-8.0
2000-04-17,9.7826
2000-04-18,-4.9505
2000-04-19,2.0833
2000-04-20,-1.0204
2000-04-24,3.0928
2000-04-25,-4.0
2000-04-26,-3.125
2000-04-27,5.3763
2000-04-28,-4.0816
2000-05-01,2.1277
2000-05-02,-2.0833
2000-05-03,-3.1915
2000-05-04,-10.989
2000-05-05,3.7037
2000-05-08,0.0
2000-05-09,-2.3810000000000002
2000-05-10,-2.439
2000-05-11,-1.25
2000-05-12,-7.5949
2000-05-15,9.589
2000-05-16,1.25
2000-05-17,-3.7037
2000-05-18,2.1026
2000-05-19,-5.0633
2000-05-22,0.0
