ticker,GXP US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,1.6997
2000-01-04,4.7354
2000-01-05,1.5957
2000-01-06,1.3089
2000-01-07,0.2584
2000-01-10,-1.2887
2000-01-11,-2.0888
2000-01-12,2.4
2000-01-13,-2.6042
2000-01-14,-2.4064
2000-01-18,-0.274
2000-01-19,0.8242
2000-01-20,3.8147
2000-01-21,7.0866
2000-01-24,1.4706000000000001
2000-01-25,-1.2077
2000-01-26,-1.2225
2000-01-27,-0.9901
2000-01-28,-2.25
2000-01-31,-0.5115
2000-02-01,1.0283
2000-02-02,-0.2545
2000-02-03,0.0
2000-02-04,-2.551
2000-02-07,-1.8325
2000-02-08,-4.0
2000-02-09,1.6667
2000-02-10,-3.0055
2000-02-11,-1.1268
2000-02-14,-1.7094
2000-02-15,-1.4493
2000-02-16,0.8824
2000-02-17,1.7492999999999999
2000-02-18,-2.0057
2000-02-22,4.0936
2000-02-23,-1.4045
2000-02-24,1.6068
2000-02-25,-1.7143000000000002
2000-02-28,5.814
2000-02-29,1.0989
2000-03-01,1.9022000000000001
2000-03-02,2.4
2000-03-03,-0.2604
2000-03-06,-2.0888
2000-03-07,0.0
2000-03-08,0.8
2000-03-09,1.5873
2000-03-10,-0.7813
2000-03-13,-1.3123
2000-03-14,2.3936
2000-03-15,1.2987
2000-03-16,3.5897
2000-03-17,-3.9604
2000-03-20,3.6082
2000-03-21,-1.2438
2000-03-22,0.5038
2000-03-23,0.0
2000-03-24,0.7519
2000-03-27,2.4876
2000-03-28,0.9709
2000-03-29,3.8462
2000-03-30,7.4074
2000-03-31,0.0
2000-04-03,-1.0776
2000-04-04,-2.8322000000000003
2000-04-05,-1.3453
2000-04-06,-1.8182
2000-04-07,-1.3889
2000-04-10,0.4695
2000-04-11,0.0
2000-04-12,-1.4019
2000-04-13,1.8957000000000002
2000-04-14,-3.9535
2000-04-17,3.632
2000-04-18,-2.8037
2000-04-19,-0.9615
2000-04-20,0.7282
2000-04-24,-1.4458
2000-04-25,1.2225
2000-04-26,4.1063
2000-04-27,-2.0882
2000-04-28,-2.6066000000000003
2000-05-01,-1.7032
2000-05-02,-3.4653
2000-05-03,-1.0256
2000-05-04,0.0
2000-05-05,-0.5181
2000-05-08,5.4688
2000-05-09,0.0
2000-05-10,0.2469
2000-05-11,0.9852
2000-05-12,-1.7073
2000-05-15,0.2481
2000-05-16,-2.2277
2000-05-17,-3.5443
2000-05-18,0.7874
2000-05-19,0.5208
2000-05-22,-0.2591
