ticker,VOLT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-1.8325
2000-01-04,-2.1333
2000-01-05,-2.4523
2000-01-06,-1.1173
2000-01-07,-2.5423999999999998
2000-01-10,0.5797
2000-01-11,2.5937
2000-01-12,1.1236
2000-01-13,-5.5556
2000-01-14,4.1176
2000-01-18,-1.6949
2000-01-19,2.0115
2000-01-20,1.1268
2000-01-21,3.0641
2000-01-24,2.1622
2000-01-25,-3.1746
2000-01-26,1.0929
2000-01-27,1.6216
2000-01-28,-1.0638
2000-01-31,0.8065
2000-02-01,2.4
2000-02-02,-0.2604
2000-02-03,1.5666
2000-02-04,1.0283
2000-02-07,-0.5089
2000-02-08,-3.3247999999999998
2000-02-09,3.9683
2000-02-10,0.2545
2000-02-11,1.2690000000000001
2000-02-14,-1.0025
2000-02-15,4.0506
2000-02-16,-2.6764
2000-02-17,1.75
2000-02-18,0.2457
2000-02-22,-1.9607999999999999
2000-02-23,0.5
2000-02-24,-1.4925
2000-02-25,0.0
2000-02-28,0.2525
2000-02-29,6.801
2000-03-01,8.4906
2000-03-02,5.6522
2000-03-03,-3.7037
2000-03-06,-1.4957
2000-03-07,-0.4338
2000-03-08,-1.0893
2000-03-09,2.2026
2000-03-10,0.2155
2000-03-13,-1.9355
2000-03-14,0.8772
2000-03-15,-0.8696
2000-03-16,3.9474
2000-03-17,1.2658
2000-03-20,-2.5
2000-03-21,-2.1368
2000-03-22,0.8734
2000-03-23,7.3593
2000-03-24,7.2581
2000-03-27,2.3261
2000-03-28,-0.9874
2000-03-29,-0.3711
2000-03-30,5.7728
2000-03-31,1.2324
2000-04-03,-0.8696
2000-04-04,-4.2105
2000-04-05,5.4945
2000-04-06,-0.1736
2000-04-07,-1.0435
2000-04-10,-2.2847
2000-04-11,-0.5396
2000-04-12,-3.6166
2000-04-13,-1.3133
2000-04-14,-2.6616
2000-04-17,-3.3203
2000-04-18,2.6263
2000-04-19,3.7401999999999997
2000-04-20,0.9488
2000-04-24,-1.8797000000000001
2000-04-25,-0.1916
2000-04-26,0.5758
2000-04-27,4.3893
2000-04-28,1.0969
2000-05-01,5.2441
2000-05-02,-3.2646
2000-05-03,-1.0657
2000-05-04,0.1795
2000-05-05,-2.509
2000-05-08,1.8382
2000-05-09,-0.361
2000-05-10,-2.5362
2000-05-11,-1.8587
2000-05-12,1.8939
2000-05-15,-0.1859
2000-05-16,0.0
2000-05-17,2.6071
2000-05-18,0.9074
2000-05-19,-8.9928
2000-05-22,-2.3715
